

 107                   : lake code
Cheewhat Lk         processed by RT on Nov. 20'89.
890920                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
clr,nownd,mnup@23011/2full,at12.5,st18.5@2320
Sx were 84-0+,.05-1+,.01-2+.                                                                                  

depth / transect / targets / %sockeye / %stickleback

  2-5   1      3  0.90  0.10
  2-5   2      8  0.90  0.10
  2-5   3      4  0.90  0.10
  2-5   4      1  0.90  0.10
  2-5   5      7  0.90  0.10
  2-5   6      2  0.90  0.10
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     70  0.90  0.10
 5-10   2     40  0.90  0.10
 5-10   3     56  0.90  0.10
 5-10   4     54  0.90  0.10
 5-10   5     25  0.90  0.10
 5-10   6     86  0.90  0.10
10-15   1     68  0.90  0.10
10-15   2    117  0.90  0.10
10-15   3    177  0.90  0.10
10-15   4     82  0.90  0.10
10-15   5     10  0.90  0.10
10-15   6    376  0.90  0.10
15-20   1      0  0.90  0.10
15-20   2      4  0.90  0.10
15-20   3    101  0.90  0.10
15-20   4     31  0.90  0.10
15-20   5      0  0.90  0.10
15-20   6    185  0.90  0.10


 107                   : lake code
Cheewhat Lk         processed by JC
890921                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain    : Sounder Gain
clear,1/2full,at12.5,st18.5C@2320
Sx were .85-0+, .05-1+, .01-2+                                                                                

depth / transect / targets / %sockeye / %stickleback

  2-5   1      4  0.90  0.10
  2-5   2     11  0.90  0.10
  2-5   3      4  0.90  0.10
  2-5   4      1  0.90  0.10
  2-5   5      7  0.90  0.10
  2-5   6      3  0.90  0.10
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
  3-5   3      0  0.00  0.00
  3-5   4      0  0.00  0.00
  3-5   5      0  0.00  0.00
  3-5   6      0  0.00  0.00
 5-10   1     84  0.90  0.10
 5-10   2     57  0.90  0.10
 5-10   3     69  0.90  0.10
 5-10   4     53  0.90  0.10
 5-10   5     21  0.90  0.10
 5-10   6    141  0.90  0.10
10-15   1     65  0.90  0.10
10-15   2    102  0.90  0.10
10-15   3    169  0.90  0.10
10-15   4     73  0.90  0.10
10-15   5      5  0.90  0.10
10-15   6    371  0.90  0.10
15-20   1      0  0.00  0.00
15-20   2      1  0.90  0.10
15-20   3    101  0.90  0.10
15-20   4     31  0.90  0.10
15-20   5      0  0.00  0.00
15-20   6    162  0.90  0.10


 107                   : lake code
Cheewhat Lk         processed by JF, 22Mar91.
900221                 : date
SIMRAD               2 : 1 = FURUNO FM 22  /  2 = SIMRAD
10   : Sounder Gain   : Sounder Gain
10%cld+fg,lghtwnd,AT2ST5degC.
                                                                                                              

depth / transect / targets / %sockeye / %stickleback

  2-5   1      2  0.00  1.00
  2-5   2      4  0.00  1.00
  2-5   3      0  0.00  1.00
  2-5   4      0  0.00  1.00
  2-5   5      6  0.00  1.00
  2-5   6      2  0.00  1.00
  3-5   1      0  0.00  0.00
  3-5   2      0  0.00  0.00
