source,ats_year,lake_code,survey_date,lake_all_target,lake_merged_data,notes_all_target,notes_merged_data,file_all_target,file_merged_data
A_RAW_target_data_only,1979,1,1979-12-19,GCL,NA,NA,NA,TARGET79.DAT,NA
A_RAW_target_data_only,1986,3,1986-09-23,Henderson Lk        Juvenile Survey,NA,"60-100%, strong winds, 1/2 moon by 0000, At: 12 0c (1957), Wt: 17 0c, JC 861021, targ overlap poor, targ rendition poor, Juvenile.",NA,TARGET86.DAT,NA
A_RAW_target_data_only,1986,32,1986-08-15,Mercer Lk           Mercer Test,NA,this is a test to compare differeces in population estimates when the estimate is run up using the old transects 1-4 only.,NA,TARGET86.DAT,NA
A_RAW_target_data_only,1986,59,1986-08-21,Phillips Lk         Phillips test,NA,This is the Phillips estimate using the original transects,NA,TARGET86.DAT,NA
A_RAW_target_data_only,1986,161,1986-04-15,Brannen Lk          Juvenile Survey,NA,"20-100%, variable winds, showers, 1/4 moon, At: 5 0c (2100), Wt: 10 0c, JC 860416, Juvenile.",NA,TARGET86.DAT,NA
A_RAW_target_data_only,1987,6,1987-04-21,Hobiton Lk,NA,"100% cloud til 2400, no wind, precip, or moon, AT= No stickles in trawl catch. Re output: prop. of 0+ sockeye given as % Sc,",NA,TARGET87.DAT,NA
A_RAW_target_data_only,1990,1,1990-10-17,GCL                 processed on 03Dec90 by PR.,NA,"ovrcst,lghtwnd,shwrsheavy erly,AT6ST3degC. species breakdown suspect-insufficient trawling",NA,TARGET90.DAT,NA
A_RAW_target_data_only,1990,1,1991-03-05,"GCL                 PROCESSED BY PR,18MAR91.",NA,"75%CLD,CALM,FLLMN,SNWFLURRIES. BAD WEATHER AT START AFFECTED AMOUNT OF TRAWLING.",NA,TARGET90.DAT,NA
A_RAW_target_data_only,1990,1,1991-03-06,"GCL                 PROCESSED BY PR,18MAR91.",NA,"75%CLD,CALM,FLLMN,SNWFLURRIES. BAD WEATHER AT START AFFECTED AMOUNT OF TRAWLING.",NA,TARGET90.DAT,NA
A_RAW_target_data_only,1991,43,1991-08-30,Meziadin Lk         counted Nov26/91 SM,NA,"70%cld,calm,2/3moon 2230-?,AT 8.0,Wt 11.0, @ 0310 Bottom noise transects 1,2,3,4 & 5.",NA,TARGET91.DAT,NA
A_RAW_target_data_only,1991,67,1991-09-16,"Trapper Lk          processed by pr, 29May92",NA,"EYM #20128, ""Small"" targets.",NA,TARGET91.DAT,NA
A_RAW_target_data_only,1992,3,1993-02-25,Henderson Lk        Counted Mar.31/93 SM,NA,"clr, clm, .1moon @1830-2100, at -3.0, wt +3.5 deg EY-M 20111, Log40, Dynaline ON.",NA,TARGET92.DAT,NA
A_RAW_target_data_only,1993,3,1993-07-16,Henderson Lk,NA,BASED ON  COUNTS OF TRANSECTS 1-7 ONLY.,NA,TARGET93.DAT,NA
A_RAW_target_data_only,1993,41,1993-10-20,"KMA                 processed by PR, 08Nov93.",NA,"20%cld,lght-modwnd,30cmchp,1/4mn1930-2300.",NA,TARGET93.DAT,NA
A_RAW_target_data_only,1993,41,1993-10-21,KMA                 Counted by PR,NA,"20%cld,light-mod wind, AT ?? WT ??. This estimate uses additional trawl data which reduces the proportion of sockeye.",NA,TARGET93.DAT,NA
A_RAW_target_data_only,1994,25,1994-09-07,"Eden Lk             Ey-m#20111,DAT# A61400",NA,"C.C.10%,AT11.8,H2O 16.5 Processed by S.T.091694",NA,TARGET94.DAT,NA
A_RAW_target_data_only,1994,156,1994-08-29,"Skidegate Lk ne     EYM#20111,DAT#a61400",NA,"c.c.25%,winds calm,waves 0cm A.T.13.6,H2O 19.8,no moon,Processed by S.T.",NA,TARGET94.DAT,NA
A_RAW_target_data_only,1994,156,1994-08-31,Skidegate Lk ne,NA,"Not sure what this is??, pr 22Feb95. This is a revised pop. est. using the correct proportions...S.T.",NA,TARGET94.DAT,NA
A_RAW_target_data_only,1995,2,1995-11-20,Sproat Lk,NA,"CC 100%,Wind Calm, PPT, Light Rain, Surface Smooth 20Nov95/29Nov95/AR/EYM/20069/1/0/0/33/749/279/",NA,TARGET95.DAT,NA
A_RAW_target_data_only,1995,3,1995-06-20,Henderson Lk,NA,21JUN95/06JUL95/JH/EYM/20069/20111/1/0/1/6/98/0,NA,TARGET95.DAT,NA
A_RAW_target_data_only,1996,175,1996-09-09,"Tuya Lk             processed by pr, 31Oct96.",NA,"ovrcst,lghtrn,lghtmodwnd,nomn,AT5-8,ST8.5. 09Sep96/31Oct96/pr/eym/20111/10005/1/0/0/12/62/0/29ctds.",NA,TARGET96.DAT,NA
A_RAW_target_data_only,1998,1,1998-12-02,GCL                 Rankin Hanslit Survey,NA,2Dec98/5Jan98/BH/EYM/20069/0/0/0/11/120/28,NA,TARGET98.DAT,NA
A_RAW_target_data_only,1998,69,1998-08-14,Yakoun Lk           Fairweather Survey,NA,Adult Count,NA,TARGET98.DAT,NA
A_RAW_target_data_only,2000,1,2000-11-30,GCL                 Rankin - Hanslit Survey,NA,30Nov00/8Jan01/BH/EY500/0/0/0/10/233/80 - duplicate target counts but spp proportions different {hs 25/10/07),NA,TARGET00.DAT,NA
A_RAW_target_data_only,2000,50,2000-11-10,Heydon Lk           Simpson-Murray Survey,NA,Juvenile targets only - Trans 6 Not Used,NA,TARGET00.DAT,NA
A_RAW_target_data_only,2001,1,2001-12-04,GCL                 Rankin-Hanslit Survey,NA,EY500 Used 4Dec01/22Jan02/BH/EY500/0/0/0/11/123/18,NA,TARGET01.DAT,NA
A_RAW_target_data_only,2002,61,2002-09-16,"Sakinaw Lk          processed by bh, 19Sep02.",NA,"clear,.831mn 16Sep02/19Sep02/EYM/20069/bh/0/0/0/5/46/84.",NA,TARGET02.DAT,NA
A_RAW_target_data_only,2003,1,2004-01-22,"GCL                 Processed by PR, 15Feb2005.",NA,nomn;100pctcc;modEwnd;nomn;AT-;ST3.9. 19Jan04/15Feb04/pr/EY500//0/0/0/14/181/168.,NA,TARGET03.DAT,NA
A_RAW_target_data_only,2003,3,2004-03-09,"Henderson Lk        processed by pr, 14May2004",NA,"clm,clr,fllmn,AT4WT6@2300 7/37/104;unadjusted for size bias",NA,TARGET03.DAT,NA
A_RAW_target_data_only,2003,26,2003-09-07,Ian Lk              Hanslit-Katinic Survey,NA,7Sep03/15Oct03/BH/EY500/0/0/0/14/0/0,NA,TARGET03.DAT,NA
A_RAW_target_data_only,2003,228,2004-02-04,Owikeno Lk (A)      Hanslit-Bachen Survey,NA,4Feb04/23Mar07/EYM/20069/0/0/0/20/937/217,NA,TARGET03.DAT,NA
A_RAW_target_data_only,2003,229,2004-02-04,Owikeno Lk (B)      Hanslit-Bachen Survey,NA,4Feb04/23Mar07/EYM/20069/0/0/0/20/937/217,NA,TARGET03.DAT,NA
A_RAW_target_data_only,2003,229,2004-02-04,Owikeno Lk (B)      Hanslit-Bachen Survey,NA,4Feb04/23Mar07/EYM/20069/0/0/0/20/937/217,NA,TARGET06.DAT,NA
A_RAW_target_data_only,2003,238,2004-03-02,"Osoyoos Lk (N)      processed by pr, 07jun2004",NA,6/138/9-1+,NA,TARGET03.DAT,NA
A_RAW_target_data_only,2004,3,2004-11-29,"Henderson Lk        processed by BH, 06Dec2004",NA,30Nov04/06Dec04/BH/EYM/20069/0/0/0/2/80/24,NA,TARGET04.DAT,NA
A_RAW_target_data_only,2004,3,2004-11-30,"Henderson Lk        processed by BH, 06Dec2004",NA,30Nov04/06Dec04/BH/EYM/20069/0/0/0/2/90/24,NA,TARGET04.DAT,NA
A_RAW_target_data_only,2005,238,2005-08-04,Osoyoos Lk (N)      Rankin Survey,NA,NA,NA,TARGET05.DAT,NA
A_RAW_target_data_only,2006,228,2007-02-14,Owikeno Lk (A)      Hanslit-Bachen Survey,NA,14Feb07/22Mar07/BH/EYM/20101/0/0/0/19/604/154,NA,TARGET06.DAT,NA
A_RAW_target_data_only,2006,229,2007-02-14,Owikeno Lk (B)      Hanslit-Bachen Survey,NA,14Feb07/22Mar07/BH/EYM/20101/0/0/0/19/604/154,NA,TARGET06.DAT,NA
A_RAW_target_data_only,2006,801,2007-02-19,Long Lk (A)         Hanslit-Bachen Survey,NA,19Feb07/8Mar07/EYM/20101/BH/0/0/0/13/7/116/183,NA,TARGET06.DAT,NA
A_RAW_target_data_only,2006,802,2007-02-19,Long Lk (B)         Hanslit-Bachen Survey,NA,19Feb07/8Mar07/EYM/20101/BH/0/0/0/13/56/45,NA,TARGET06.DAT,NA
A_RAW_target_data_only,2007,3,2007-08-23,"Henderson Lk        processed by SC, 13Sep2007.",NA,"clear, calm",NA,TARGET07.DAT,NA
A_RAW_target_data_only,2007,228,2008-02-20,Owikeno Lk (A)      processed by RF,NA,"clear, calm",NA,TARGET07.DAT,NA
A_RAW_target_data_only,2007,229,2008-02-19,Owikeno Lk (B)      processed by RF,NA,"clear, calm",NA,TARGET07.DAT,NA
A_RAW_target_data_only,2007,801,2007-11-07,Long Lk (A)         processed by RF March 08,NA,"depth 0-120, no STR",NA,TARGET07.DAT,NA
A_RAW_target_data_only,2007,801,2008-02-22,Long Lk (A),NA,"clear, calm survey by RF and MM",NA,TARGET07.DAT,NA
A_RAW_target_data_only,2007,802,2007-11-07,Long Lk (B)         processed by RF Jan 08,NA,"0-120 depth setting, no weather report",NA,TARGET07.DAT,NA
A_RAW_target_data_only,2007,802,2008-02-22,Long Lk (B)         processed by RF,NA,"clear, calm",NA,TARGET07.DAT,NA
A_RAW_target_data_only,NA,40,NA,KCA                 Juvenile Survey,NA,"0%, breeze, no ppt, 3/4 moon, At: 14/15 0c (2300), Wt: 20 0c, JC 851126,",NA,TARGET85.DAT,NA
A_RAW_target_data_only,NA,44,NA,Muriel Lk           processed by DL march 25 1996,NA,"cc10%,winds mod,waves4cm,moon 1/8,moon set 22:00,A 22MAR96/25MAR96/DL/EYM/20111/1/0/0/10/5/7/",NA,TARGET95.DAT,NA
A_RAW_target_data_only,NA,118,NA,"Megin Lk            processed by DL March26, 1996",NA,"cc100%,winds light,waves 2cm,rain heavy,at9.0,st5. 20MAR96/26MAR96/DL/EYM/20111/1/0/0/10/18/7/",NA,TARGET95.DAT,NA
A_RAW_target_data_only,NA,241,NA,Skaha Lk            Hanslit Survey # INVALID DATE (00/09/31) - RESET to 00/10/01 in code,NA,30Sep00/16Jan01/BH/EY500/0/0/0/7/9/0 # REPLICATE SURVEY DATE? #,NA,TARGET00.DAT,NA
B_FINAL_target_data_only,1985,40,1985-07-01,NA,Kennedy Lk (Clayoquot Arm),NA,"0%, breeze, no ppt, 3/4 moon, At: 14/15 0c (2300), Wt: 20 0c, JC 851126,",NA,TARGET85.DAT
B_FINAL_target_data_only,1995,44,1996-03-22,NA,Muriel Lk,NA,"cc10%,winds mod,waves4cm,moon 1/8,moon set 22:00,A 22MAR96/25MAR96/DL/EYM/20111/1/0/0/10/5/7/",NA,TARGET95.DAT
B_FINAL_target_data_only,1995,118,1996-03-20,NA,Megin Lk,NA,"cc100%,winds light,waves 2cm,rain heavy,at9.0,st5. 20MAR96/26MAR96/DL/EYM/20111/1/0/0/10/18/7/",NA,TARGET95.DAT
B_FINAL_target_data_only,2000,241,2000-10-01,NA,Skaha Lk,NA,30Sep00/16Jan01/BH/EY500/0/0/0/7/9/0 # REPLICATE SURVEY DATE? #,NA,TARGET00.DAT
C_In_Both_RAW_and_FINAL_data,1977,1,1977-09-20,GCL                      20-21 1977 NIGHT SURVEY,Great Central Lk,1-5 M. NOT COUNTED,1-5 M. NOT COUNTED,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,1,1977-11-07,GCL                      NOVEMBER 7 1977 NIGHT SURVEY,Great Central Lk,NA,NA,TARGET77.DAT,TARGET77.DAT
C_In_Both_RAW_and_FINAL_data,1977,3,1977-10-04,HENDERSON                1977,Henderson Lk,NO TRAWLS DONE. #OF SOCKEYE=#OF FISH,NO TRAWLS DONE. #OF SOCKEYE=#OF FISH,TARGET77.DAT,TARGET77.DAT
