"lake","lake_code","ats_year","target_survey_code","target_survey_type","survey_date","survey_year","survey_month","transect","depth_code","depth_min","depth_max","targets","prop_sockeye","prop_stickleback","total_prop","transect_length","area","sounder_code","sounder_type","sounder_gain","data_issues","survey_comments","acoustic_survey_notes","key_field_replicate","source_file","line_number","sourcefile_year","source_year_err"
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,1,2,5,0,NA,NA,NA,340,350,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",844,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,1,2,5,0,NA,NA,NA,340,350,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5142,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,2,3,5,0,NA,NA,NA,340,340,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",855,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,2,3,5,0,NA,NA,NA,340,340,2,"SIMRAD               ",10,"Prop_sockeye and prop_stickleback set to NA because targets == 0; ","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5153,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,3,5,10,10,1,0,1,340,334,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",866,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,3,5,10,6,1,0,1,340,334,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5164,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,4,10,15,23,1,0,1,340,320,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",877,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,4,10,15,24,1,0,1,340,320,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5175,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,5,15,20,8,1,0,1,300,285,2,"SIMRAD               ",10,"","Processed by JC","clr,5/8mn,at11.5,st18C","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",888,1989,FALSE
"Hobiton Lk",6,1989,1,"JUVENILE",1989-09-19,1989,9,1,5,15,20,9,1,0,1,300,285,2,"SIMRAD               ",10,"","processed on 08Nov89 by RT.","clr,SEwnd,1/2mn@2145,AT11.5ST18@2220.","Replicate exists in the original data for this lake, date, sounder, transect and depth","TARGET89.DAT",5186,1989,FALSE
