"ats_year","lake","lake_code","survey_date","target_survey_type","sounder_type","sounder_code","transect","depth_code","targets","prop_sockeye","source_file","line_number","survey_comments","acoustic_survey_notes","sequential_date_replicate"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,1,1,3,0.9,"TARGET89.DAT",14,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,1,2,0,NA,"TARGET89.DAT",20,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,1,3,70,0.9,"TARGET89.DAT",26,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,1,4,68,0.9,"TARGET89.DAT",32,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,1,5,0,NA,"TARGET89.DAT",38,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,2,1,8,0.9,"TARGET89.DAT",15,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,2,2,0,NA,"TARGET89.DAT",21,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,2,3,40,0.9,"TARGET89.DAT",27,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,2,4,117,0.9,"TARGET89.DAT",33,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,2,5,4,0.9,"TARGET89.DAT",39,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,3,1,4,0.9,"TARGET89.DAT",16,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,3,2,0,NA,"TARGET89.DAT",22,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,3,3,56,0.9,"TARGET89.DAT",28,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,3,4,177,0.9,"TARGET89.DAT",34,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
1989,"Cheewhat Lk",107,1989-09-20,"JUVENILE","SIMRAD               ",2,3,5,101,0.9,"TARGET89.DAT",40,"processed by RT on Nov. 20'89.","clr,nownd,mnup@23011/2full,at12.5,st18.5@2320 Sx were 84-0+,.05-1+,.01-2+.","Replicate or potential duplicate (with sequential survey dates) exists in the original data"
