source_file,lake,lake_code,survey_date,sounder_type,sounder_gain,acoustic_survey_notes
TARGET00.DAT,GCL                 Rankin - Hanslit Survey,1,2000-11-30,SIMRAD               2,10,30Nov00/8Jan01/BH/EY500/0/0/0/10/233/80 - duplicate target counts but spp proportions different {hs 25/10/07)
TARGET00.DAT,GCL                 Rankin - Hanslit Survey (HS testing),1,2000-11-29,SIMRAD               2,10,30Nov00/8Jan01/BH/EY500/0/0/0/10/233/80. Adjusted for size selectivity.
TARGET00.DAT,Henderson Lk        Rankin - Hanslit Survey,3,2000-07-12,SIMRAD               2,10,12Jul00/22Jan01/BH/EY500/0/0/0/17/225/15
TARGET00.DAT,Henderson Lk        Rankin - Hanslit Survey,3,2000-11-21,SIMRAD               2,10,21Nov00/18Jan01/BH/EY500/0/0/0/20/219/33
TARGET00.DAT,Henderson Lk        Rankin-Hanslit Survey,3,2000-07-11,SIMRAD               2,10,"clear to cloudy,rippled to chop, 3/4 moon many transects replicated with EY500. PR counter."
TARGET00.DAT,Heydon Lk           Simpson-Murray Survey,50,2000-11-10,SIMRAD               2,10,Juvenile targets only - Trans 6 Not Used
TARGET00.DAT,Heydon Lk           Simpson-Murry Survey,50,2000-11-09,SIMRAD               2,10,Juvenile Targets Only - Trans #6 Used
TARGET00.DAT,KCA                 Hanslit Survey,40,2000-10-25,SIMRAD               2,10,25Oct00/2Jan01/BH/EYM/20069/0/0/0/17/13/57
TARGET00.DAT,KMA                 Hanslit Survey,41,2000-10-24,SIMRAD               2,10,A minimum value of .01 was given to the 1 sk that 24Oct00/25Jan01/BH/EY500/0/0/0/15/1/298
TARGET00.DAT,KMA                 Hanslit Survey,41,2000-10-25,SIMRAD               2,10,24Oct00/31Jan01/BH/EYM/20069/0/0/0/15/1/298
TARGET00.DAT,"Kingsalmon Lk       processed by PR, 15Nov00.",52,2000-08-30,SIMRAD               2,10,30Aug00/15Nov00/pr/eym/20069////7///
TARGET00.DAT,"Long Lk (A)         processed by PR, 11Oct00.",801,2000-09-15,SIMRAD               2,10,70-100cld/rn/lghtwnd/fllmn/AT8ST15.5. 15Sep00/11Oct00/pr/EYM/20069//0/0/0/10/95/34.
TARGET00.DAT,"Long Lk (B)         processed by PR, 11Oct00.",802,2000-09-15,SIMRAD               2,10,70-100cld/rn/lghtwnd/Fllmn/AT8ST15.5. 15Sep00/11Oct00/pr/eym/20069//0/0/0/10/52/8.
TARGET00.DAT,Muriel Lk           Hanslit Survey,44,2000-10-30,SIMRAD               2,10,30Oct00/21Dec00/BH/EYM/20069/0/0/0/7/138
TARGET00.DAT,Muriel Lk           Hanslit Survey,44,2000-10-31,SIMRAD               2,10,Hanslit Survey 31Oct00/16Jan01/BH/EY500/0/0/0/7/138/0
TARGET00.DAT,Osoyoos Lk (N)      Hanslit - ONFC Survey,238,2000-07-06,SIMRAD               2,10,5Jul00/18Jan01/BH/EY500/0/0/0/10/486/0
TARGET00.DAT,Osoyoos Lk (N)      Hanslit Survey,238,2000-09-27,SIMRAD               2,10,40-50m strata counts added to the 30-40m strata 27Sep00/21Dec00/BH/EYM/20069/0/0/0/10/331/0
TARGET00.DAT,Osoyoos Lk (N)      Hanslit Survey,238,2000-09-28,SIMRAD               2,10,40-50m strata counts added to the 30-40m counts 27Sep00/17Jan01/BH/EY500/0/0/0/10/331/0
TARGET00.DAT,"Osoyoos Lk (N)      processed by PR, 09Aug2000.",238,2000-07-05,SIMRAD               2,10,100-70%cld/norn/hghwnd/AT15/ST19/ 05jul00/09aug00/pr/eym/20069/0/0/0/10/486/0
TARGET00.DAT,Schoen Lk           Hanslit Survey,24,2000-07-19,SIMRAD               2,10,Fair-Calm 19Jul00/29Jul00/BH/EYM/20069/0/0/0/3/2/0
TARGET00.DAT,Skaha Lk            Hanslit - ONFC Survey,241,2000-07-09,SIMRAD               2,10,9Jul00/22Jan01/BH/EY500/0/0/0/NO Trawling
TARGET00.DAT,Skaha Lk            Hanslit - ONFC Survey,241,2000-09-30,SIMRAD               2,10,30Sep00/21Dec00/BH/EYM/20069/0/0/0/7/9/0
TARGET00.DAT,Skaha Lk            Hanslit Survey # INVALID DATE (00/09/31) - RESET to 00/10/01 in code,241,NA,SIMRAD               2,10,30Sep00/16Jan01/BH/EY500/0/0/0/7/9/0 # REPLICATE SURVEY DATE? #
TARGET00.DAT,"Skaha Lk            processed by PR, 010900.",241,2000-07-08,SIMRAD               2,10,100%cld/ltrn/hghwnd/AT12/ST18/ 08jul00/01sep00/pr/eym/20069/no trawls.
TARGET00.DAT,Sproat Lk           Rankin - Hanslit Survey,2,2000-11-28,SIMRAD               2,10,28Nov00/23Jan01/BH/EY500/0/0/0/11/285/0
TARGET00.DAT,"Tatsamenie Lk       processed by pr, 09Nov00.",66,2000-10-11,SIMRAD               2,10,"ovcst,norn,no-modwnd,nomn,AT6,ST7. 11Oct00/09Nov00/EYM///19/17/0."
TARGET00.DAT,"Tatsamenie Lk       processed by pr, 31Oct00.",66,2000-08-24,SIMRAD               2,10,n/a 24Aug2000/31Oct2000/pr/20069///11/14/1sc.
TARGET00.DAT,"Tuya Lk             processed by pr, 31Oct00.",175,2000-08-15,SIMRAD               2,10,"mod-lghtwnd,oc,lght-modrn,AT6,ST10.7. 15Aug00/31Oct00/eym/20069///5/2/1sc."
TARGET00.DAT,Vernon Lk           Hanslit Survey,23,2000-08-06,SIMRAD               2,10,Bright Moon 6Aug00/3Jan01/BH/EYM/20069/0/0/0/12/30/0
