ats_year,lake,lake_code,survey_date,target_survey_code,target_survey_type,sounder_code,sounder_type,sounder_gain,sounder_issues,key_field_replicate,sequential_date_replicate,acoustic_survey_notes,acoustic_survey_comments,source_file
1977,Great Central Lk,1,1977-09-20,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA ,1-5 M. NOT COUNTED,20-21 1977 NIGHT SURVEY,TARGET77.DAT
1977,Great Central Lk,1,1977-11-07,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NA,NOVEMBER 7 1977 NIGHT SURVEY,TARGET77.DAT
1977,Henderson Lk,3,1977-10-04,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NO TRAWLS DONE. #OF SOCKEYE=#OF FISH,1977,TARGET77.DAT
1977,Henderson Lk,3,1978-03-13,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NO TRAWLS DONE. #OF SOCKEYE=#OF FISH,"13-14, 1978",TARGET77.DAT
1977,Hobiton Lk,6,1977-10-05,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,TRANSECT #5 NOT SOUNDED,NIGHT SURVEY,TARGET77.DAT
1977,Hobiton Lk,6,1978-03-14,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NO TRAWL DATA,NA,TARGET77.DAT
1977,Kennedy Lk (Clayoquot Arm),40,1977-09-21,1,JUVENILE,1,FURUNO FG 21         ,9,,,NA,OLD TRANSECTS,NA,TARGET77.DAT
1977,Kennedy Lk (Clayoquot Arm),40,1977-10-26,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,OLD TRANSECTS,NIGHT SURVEY,TARGET77.DAT
1977,Kennedy Lk (Clayoquot Arm),40,1978-02-07,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,OLD TRANSECTS. TR#15 & 16 NOT SOUNDED,NA,TARGET77.DAT
1977,Kennedy Lk (Main Arm),41,1977-09-20,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,OLD TRANSECTS,NA,TARGET77.DAT
1977,Kennedy Lk (Main Arm),41,1978-02-08,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,OLD TRANSECTS.,NA,TARGET77.DAT
1977,Long Lk (A),801,1978-02-15,1,JUVENILE,1,FURUNO               ,10,,,NA,NO FISH ABOVE 15M. 1-15M. NOT SOUNDED,NA,TARGET77.DAT
1977,Long Lk (B),802,1978-02-16,1,JUVENILE,1,FURUNO               ,10,,,NA,NO FISH ABOVE 15M. 1-15M. NOT SOUNDED,NA,TARGET77.DAT
1978,Alastair Lk,12,1978-07-10,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NA,NA,TARGET78.DAT
1978,Fred Wright Lk,11,1978-10-05,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NA,NA,TARGET78.DAT
1978,Great Central Lk,1,1978-07-31,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NA,JULY 31 1978 NIGHT SURVEY,TARGET78.DAT
1978,Great Central Lk,1,1978-09-06,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NO TRAWLS DONE. TRANSECT #6 NOT SOUNDED,NA,TARGET78.DAT
1978,Great Central Lk,1,1978-10-17,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NA,OCTOBER 17 1978 NIGHT SURVEY,TARGET78.DAT
1978,Great Central Lk,1,1978-12-05,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NA,DECEMBER 5-6 1978 NIGHT SURVEY,TARGET78.DAT
1978,Henderson Lk,3,1979-03-13,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,CLEAR FULL MOON,NIGHT SURVEY,TARGET78.DAT
1978,Hobiton Lk,6,1979-03-14,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NA,NIGHT SURVEY,TARGET78.DAT
1978,Kennedy Lk (Clayoquot Arm),40,1978-08-15,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,OLD TRANSECTS. TR #13 & 16 NOT SOUNDED.,NA,TARGET78.DAT
1978,Kennedy Lk (Clayoquot Arm),40,1978-11-15,1,JUVENILE,1,FURUNO FG 200        ,10,,,NA,OLD  TRANSECTS.,NA,TARGET78.DAT
1978,Kennedy Lk (Main Arm),41,1978-08-14,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,OLD TRANSECTS.,NA,TARGET78.DAT
1978,Kennedy Lk (Main Arm),41,1978-11-16,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,OLD TRANSECTS. NO TRAWL DATA. TR #14 NOT SOUNDED.,NA,TARGET78.DAT
1978,Kitlope Lk,17,1978-06-29,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,ESTIMATE BASED ON THREE TRANSECTS.,NIGHT SURVEY,TARGET78.DAT
1978,Kitlope Lk,17,1978-09-15,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,INTERMITTENT RAIN,NIGHT SURVEY,TARGET78.DAT
1978,Long Lk (A),801,1979-03-21,1,JUVENILE,1,FURUNO               ,10,,,NA,NA,NA,TARGET78.DAT
1978,Long Lk (B),802,1978-08-23,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,ALONG NOT SOUNDED TR#1-5.,NIGHT SURVEY,TARGET78.DAT
1978,Long Lk (B),802,1979-03-22,1,JUVENILE,1,FURUNO               ,10,,,NA,NA,NA,TARGET78.DAT
1978,Lowe Lk,20,1978-09-20,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,DAY SURVEY NO TRAWL DATA.,DAY SURVEY,TARGET78.DAT
1978,Nimpkish Lk,21,1978-11-29,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,TR #8 NOT SOUNDED.,NA,TARGET78.DAT
1978,Schoen Lk,24,1978-11-20,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,no trawling,processed by PR,TARGET78.DAT
1978,Vernon Lk,23,1978-11-21,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,Trawl catch 100% sockeye,processed by pr,TARGET78.DAT
1978,Woss Lk,22,1978-11-22,1,JUVENILE,1,FURUNO FM 22         ,10,,,NA,NA,processed by KS,TARGET78.DAT
