Syscode,System,Year,Date,Trawl#,Depth,Original_file
12,Alastair Lk,1978,1978-07-10,4,,Trawldoc.xls
12,Alastair Lk,1978,1978-10-08,4,,Trawldoc.xls
12,AlastairLk,1978,1978-07-10,3,7,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1978,1978-07-10,2,7,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1978,1978-07-10,4,7,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1978,1978-07-10,1,7,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1978,1978-10-08,4,15,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1978,1978-10-08,3,18,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1978,1978-10-08,2,20,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1978,1978-10-08,1,18,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,10,33,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,4,4,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,5,9,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,5,9,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,6,12,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,6,12,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,7,11,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,7,11,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,8,9,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,8,9,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,9,17,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,10,33,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,11,33,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,11,33,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,12,19,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,12,19,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,13,14,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
12,AlastairLk,1995,1995-10-11,3,4,TrawlYY Database-Trawl Inventory (as of Sep 2000).xls
