"Lake name","Lake code","Depth min m","Depth max m","Area ha","Transect","Transect length m","Lake latitude","Lake longitude"
"A23 TF (Alberni)",10,NA,NA,NA,NA,NA,"49 deg 05 min","124 deg 50 min"
"A23 TF (Barkley)",33,NA,NA,NA,NA,NA,"48 deg 51 min","125 deg 23 min"
"A23 TF (Uchuckl)",30,NA,NA,NA,NA,NA,"49 deg 00 min","125 deg 00 min"
"A23 TF (total)",162,NA,NA,NA,NA,NA,"49 deg 05 min","124 deg 50 min"
"Adams Lake",81,NA,NA,NA,NA,NA,"51 deg 09 min","119 deg 39 min"
"Alastair Lake",12,2,5,685,1,1030,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,2,5,685,2,987,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,2,5,685,3,891,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,2,5,685,4,785,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,2,5,685,5,664,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,3,5,685,1,1030,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,3,5,685,2,987,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,3,5,685,3,891,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,3,5,685,4,785,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,3,5,685,5,664,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,5,10,623,1,974,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,5,10,623,2,963,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,5,10,623,3,836,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,5,10,623,4,775,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,5,10,623,5,648,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,10,15,562,1,699,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,10,15,562,2,915,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,10,15,562,3,789,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,10,15,562,4,736,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,10,15,562,5,627,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,15,20,484,1,532,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,15,20,484,2,849,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,15,20,484,3,752,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,15,20,484,4,715,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,15,20,484,5,605,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,20,30,377,1,0,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,20,30,377,2,427,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,20,30,377,3,710,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,20,30,377,4,697,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,20,30,377,5,575,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,30,40,278,1,0,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,30,40,278,2,0,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,30,40,278,3,618,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,30,40,278,4,641,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,30,40,278,5,535,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,40,50,216,1,0,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,40,50,216,2,0,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,40,50,216,3,518,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,40,50,216,4,583,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,40,50,216,5,493,"54 deg 05 min","129 deg 11 min"
"Alastair Lake",12,50,60,180,1,0,"54 deg 05 min","129 deg 11 min"
