"Lake name","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007"
"Alastair Lake","-","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-"
"Awun Lake","-","-","1 | 1","1 | 1","1 | 2","1 | 2","1 | 2","1 | 2","1 | 1","2 | 0","-","-","-","-","1 | 0","-","-","1 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bear Lake","-","0 | 3","-","-","-","-","-","-","-","-","-","0 | 2","-","-","-","-","-","-","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-"
"Bonilla Lake","-","-","1 | 1","1 | 2","2 | 6","2 | 3","1 | 2","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bowser Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 | 2","0 | 2","0 | 4","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Brannen Lake","-","-","-","-","-","-","-","-","-","1 | 1","-","-","-","0 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cheewhat Lake","-","-","-","-","-","-","1 | 1","3 | 2","2 | 3","3 | 4","6 | 9","4 | 7","7 | 10","8 | 9","4 | 3","4 | 0","2 | 0","6 | 0","7 | 0","3 | 2","-","-","-","-","-","-","-","-","-","-","-"
"Cougar Lake","-","-","-","-","-","-","-","-","-","-","-","0 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Curtis Lake","-","-","1 | 1","1 | 2","2 | 3","1 | 1","1 | 2","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Damdochax Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 2","0 | 3","0 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Deer Lake","-","-","-","-","-","-","-","-","-","-","-","0 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Devon Lake","-","-","1 | 2","1 | 1","1 | 1","1 | 1","1 | 1","1 | 2","1 | 2","2 | 2","1 | 2","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dragon Lake","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Eden Lake","-","-","1 | 2","1 | 1","1 | 2","1 | 1","1 | 2","1 | 2","1 | 2","2 | 1","-","-","-","-","1 | 0","-","1 | 0","1 | 0","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ellerslie Lake","-","-","-","-","-","-","-","-","-","-","-","1 | 3","-","-","1 | 1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fred Wright Lake","-","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","1 | 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fulmore_2005","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1 | 0","-","-","-"
