"lk.name","lake_code","depth_min","depth_max","Area","Transect","Length","lake_name","lake_latitude","lake_longitude"
NA,10,NA,NA,NA,NA,NA,"A23 TF (Alberni)","49 deg 05 min","124 deg 50 min"
NA,33,NA,NA,NA,NA,NA,"A23 TF (Barkley)","48 deg 51 min","125 deg 23 min"
NA,30,NA,NA,NA,NA,NA,"A23 TF (Uchuckl)","49 deg 00 min","125 deg 00 min"
NA,162,NA,NA,NA,NA,NA,"A23 TF (total)","49 deg 05 min","124 deg 50 min"
NA,81,NA,NA,NA,NA,NA,"Adams Lake","51 deg 09 min","119 deg 39 min"
"ALISTAIR LAKE",12,2,5,685,1,1030,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,2,5,685,2,987,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,2,5,685,3,891,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,2,5,685,4,785,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,2,5,685,5,664,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,3,5,685,1,1030,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,3,5,685,2,987,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,3,5,685,3,891,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,3,5,685,4,785,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,3,5,685,5,664,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,5,10,623,1,974,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,5,10,623,2,963,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,5,10,623,3,836,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,5,10,623,4,775,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,5,10,623,5,648,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,10,15,562,1,699,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,10,15,562,2,915,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,10,15,562,3,789,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,10,15,562,4,736,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,10,15,562,5,627,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,15,20,484,1,532,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,15,20,484,2,849,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,15,20,484,3,752,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,15,20,484,4,715,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,15,20,484,5,605,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,20,30,377,1,0,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,20,30,377,2,427,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,20,30,377,3,710,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,20,30,377,4,697,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,20,30,377,5,575,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,30,40,278,1,0,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,30,40,278,2,0,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,30,40,278,3,618,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,30,40,278,4,641,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,30,40,278,5,535,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,40,50,216,1,0,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,40,50,216,2,0,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,40,50,216,3,518,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,40,50,216,4,583,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,40,50,216,5,493,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,50,60,180,1,0,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,50,60,180,2,0,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,50,60,180,3,419,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,50,60,180,4,533,"Alastair Lake","54 deg 05 min","129 deg 11 min"
"ALISTAIR LAKE",12,50,60,180,5,437,"Alastair Lake","54 deg 05 min","129 deg 11 min"
NA,90,NA,NA,NA,NA,NA,"Alligator Lake","60 deg 23 min","135 deg 21 min"
NA,72,NA,NA,NA,NA,NA,"Amor Lake","50 deg 10 min","125 deg 34 min"
NA,86,NA,NA,NA,NA,NA,"Anderson Lake","50 deg 38 min","122 deg 25 min"
NA,126,NA,NA,NA,NA,NA,"Anutz Lake","50 deg 18 min","126 deg 55 min"
NA,4,NA,NA,NA,NA,NA,"Area 23 Cm Fshry","48 deg 55 min","125 deg 23 min"
NA,172,NA,NA,NA,NA,NA,"Ark Lake","48 deg 30 min","123 deg 36 min"
NA,127,NA,NA,NA,NA,NA,"Atluck Lake","50 deg 12 min","126 deg 57 min"
NA,187,NA,NA,NA,NA,NA,"Atnarko R",NA,NA
"AWUN LAKE",27,2,5,465,1,648,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,2,5,465,2,928,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,2,5,465,3,650,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,2,5,465,4,295,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,3,5,465,1,648,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,3,5,465,2,928,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,3,5,465,3,650,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,3,5,465,4,295,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,5,10,440,1,628,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,5,10,440,2,917,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,5,10,440,3,635,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,5,10,440,4,284,"Awun Lake","53 deg 36 min","132 deg 35 min"
"AWUN LAKE",27,10,15,420,1,592,"Awun Lake","53 deg 36 min","132 deg 35 min"
