"Lake","Code","Latitude","Longitude","Transect","Depth Min (m)","Depth Max (m)","Length (m)","Area (ha)"
"Alastair Lake",12,"54° 05' N","129° 11' W",1,2,5,1030,685
"Alastair Lake",12,"54° 05' N","129° 11' W",1,3,5,1030,685
"Alastair Lake",12,"54° 05' N","129° 11' W",1,5,10,974,623
"Alastair Lake",12,"54° 05' N","129° 11' W",1,10,15,699,562
"Alastair Lake",12,"54° 05' N","129° 11' W",1,15,20,532,484
"Alastair Lake",12,"54° 05' N","129° 11' W",1,20,30,0,377
"Alastair Lake",12,"54° 05' N","129° 11' W",1,30,40,0,278
"Alastair Lake",12,"54° 05' N","129° 11' W",1,40,50,0,216
"Alastair Lake",12,"54° 05' N","129° 11' W",1,50,60,0,180
"Alastair Lake",12,"54° 05' N","129° 11' W",2,2,5,987,685
"Alastair Lake",12,"54° 05' N","129° 11' W",2,3,5,987,685
"Alastair Lake",12,"54° 05' N","129° 11' W",2,5,10,963,623
"Alastair Lake",12,"54° 05' N","129° 11' W",2,10,15,915,562
"Alastair Lake",12,"54° 05' N","129° 11' W",2,15,20,849,484
"Alastair Lake",12,"54° 05' N","129° 11' W",2,20,30,427,377
"Alastair Lake",12,"54° 05' N","129° 11' W",2,30,40,0,278
"Alastair Lake",12,"54° 05' N","129° 11' W",2,40,50,0,216
"Alastair Lake",12,"54° 05' N","129° 11' W",2,50,60,0,180
"Alastair Lake",12,"54° 05' N","129° 11' W",3,2,5,891,685
"Alastair Lake",12,"54° 05' N","129° 11' W",3,3,5,891,685
"Alastair Lake",12,"54° 05' N","129° 11' W",3,5,10,836,623
"Alastair Lake",12,"54° 05' N","129° 11' W",3,10,15,789,562
"Alastair Lake",12,"54° 05' N","129° 11' W",3,15,20,752,484
"Alastair Lake",12,"54° 05' N","129° 11' W",3,20,30,710,377
"Alastair Lake",12,"54° 05' N","129° 11' W",3,30,40,618,278
"Alastair Lake",12,"54° 05' N","129° 11' W",3,40,50,518,216
"Alastair Lake",12,"54° 05' N","129° 11' W",3,50,60,419,180
"Alastair Lake",12,"54° 05' N","129° 11' W",4,2,5,785,685
"Alastair Lake",12,"54° 05' N","129° 11' W",4,3,5,785,685
"Alastair Lake",12,"54° 05' N","129° 11' W",4,5,10,775,623
"Alastair Lake",12,"54° 05' N","129° 11' W",4,10,15,736,562
"Alastair Lake",12,"54° 05' N","129° 11' W",4,15,20,715,484
"Alastair Lake",12,"54° 05' N","129° 11' W",4,20,30,697,377
"Alastair Lake",12,"54° 05' N","129° 11' W",4,30,40,641,278
"Alastair Lake",12,"54° 05' N","129° 11' W",4,40,50,583,216
"Alastair Lake",12,"54° 05' N","129° 11' W",4,50,60,533,180
"Alastair Lake",12,"54° 05' N","129° 11' W",5,2,5,664,685
"Alastair Lake",12,"54° 05' N","129° 11' W",5,3,5,664,685
"Alastair Lake",12,"54° 05' N","129° 11' W",5,5,10,648,623
"Alastair Lake",12,"54° 05' N","129° 11' W",5,10,15,627,562
"Alastair Lake",12,"54° 05' N","129° 11' W",5,15,20,605,484
"Alastair Lake",12,"54° 05' N","129° 11' W",5,20,30,575,377
"Alastair Lake",12,"54° 05' N","129° 11' W",5,30,40,535,278
"Alastair Lake",12,"54° 05' N","129° 11' W",5,40,50,493,216
"Alastair Lake",12,"54° 05' N","129° 11' W",5,50,60,437,180
"Awun Lake",27,"53° 36' N","132° 35' W",1,2,5,648,465
"Awun Lake",27,"53° 36' N","132° 35' W",1,3,5,648,465
"Awun Lake",27,"53° 36' N","132° 35' W",1,5,10,628,440
"Awun Lake",27,"53° 36' N","132° 35' W",1,10,15,592,420
"Awun Lake",27,"53° 36' N","132° 35' W",1,15,20,556,400
"Awun Lake",27,"53° 36' N","132° 35' W",1,20,30,496,370
"Awun Lake",27,"53° 36' N","132° 35' W",1,30,40,433,323
"Awun Lake",27,"53° 36' N","132° 35' W",1,40,50,336,274
"Awun Lake",27,"53° 36' N","132° 35' W",1,50,60,240,211
"Awun Lake",27,"53° 36' N","132° 35' W",1,60,70,0,136
"Awun Lake",27,"53° 36' N","132° 35' W",2,2,5,928,465
"Awun Lake",27,"53° 36' N","132° 35' W",2,3,5,928,465
"Awun Lake",27,"53° 36' N","132° 35' W",2,5,10,917,440
"Awun Lake",27,"53° 36' N","132° 35' W",2,10,15,893,420
"Awun Lake",27,"53° 36' N","132° 35' W",2,15,20,870,400
"Awun Lake",27,"53° 36' N","132° 35' W",2,20,30,831,370
"Awun Lake",27,"53° 36' N","132° 35' W",2,30,40,779,323
"Awun Lake",27,"53° 36' N","132° 35' W",2,40,50,675,274
"Awun Lake",27,"53° 36' N","132° 35' W",2,50,60,575,211
"Awun Lake",27,"53° 36' N","132° 35' W",2,60,70,0,136
"Awun Lake",27,"53° 36' N","132° 35' W",3,2,5,650,465
"Awun Lake",27,"53° 36' N","132° 35' W",3,3,5,650,465
"Awun Lake",27,"53° 36' N","132° 35' W",3,5,10,635,440
"Awun Lake",27,"53° 36' N","132° 35' W",3,10,15,616,420
"Awun Lake",27,"53° 36' N","132° 35' W",3,15,20,594,400
"Awun Lake",27,"53° 36' N","132° 35' W",3,20,30,566,370
"Awun Lake",27,"53° 36' N","132° 35' W",3,30,40,512,323
"Awun Lake",27,"53° 36' N","132° 35' W",3,40,50,464,274
"Awun Lake",27,"53° 36' N","132° 35' W",3,50,60,429,211
"Awun Lake",27,"53° 36' N","132° 35' W",3,60,70,0,136
"Awun Lake",27,"53° 36' N","132° 35' W",4,2,5,295,465
"Awun Lake",27,"53° 36' N","132° 35' W",4,3,5,295,465
"Awun Lake",27,"53° 36' N","132° 35' W",4,5,10,284,440
"Awun Lake",27,"53° 36' N","132° 35' W",4,10,15,266,420
"Awun Lake",27,"53° 36' N","132° 35' W",4,15,20,249,400
"Awun Lake",27,"53° 36' N","132° 35' W",4,20,30,221,370
"Awun Lake",27,"53° 36' N","132° 35' W",4,30,40,156,323
"Awun Lake",27,"53° 36' N","132° 35' W",4,40,50,0,274
"Awun Lake",27,"53° 36' N","132° 35' W",4,50,60,0,211
"Awun Lake",27,"53° 36' N","132° 35' W",4,60,70,0,136
"Bear Lake",16,"56° 08' N","126° 49' W",1,2,5,538,1880
"Bear Lake",16,"56° 08' N","126° 49' W",1,3,5,538,1484
"Bear Lake",16,"56° 08' N","126° 49' W",1,5,10,454,1084
"Bear Lake",16,"56° 08' N","126° 49' W",1,10,15,364,723
