"Lake","ATS Year","Date","Sounder Type","#Transects","#Targets","#Trawls","Surface Trawls","Trawl Time (min)","#Fish","#Sockeye","#Stickleback","Others"
"Alastair Lake","1978",1978-07-10,"FURUNO FM 22         ",5,1632,4,0,120,73,48,25,0
"Alastair Lake","1978",1978-10-08,NA,NA,NA,4,0,120,96,67,29,0
"Alastair Lake","1995",1995-10-11,"SIMRAD               ",5,8322,11,0,0,684,403,281,0
"Awun Lake","1979",1979-07-31,"FURUNO FM 22         ",4,402,NA,NA,NA,NA,NA,NA,NA
"Awun Lake","1979",1979-08-01,NA,NA,NA,5,0,140,250,228,22,0
"Awun Lake","1980",1980-07-30,"FURUNO FM 22         ",4,247,NA,NA,NA,NA,NA,NA,NA
"Awun Lake","1980",1980-07-31,NA,NA,NA,3,0,90,445,432,13,0
"Awun Lake","1981",1981-10-07,"FURUNO FM 22         ",4,213,3,0,72,5,3,1,1
"Awun Lake","1981",1981-10-08,NA,NA,NA,2,0,50,20,19,1,0
"Awun Lake","1982",1982-09-27,"FURUNO FM 22         ",4,560,3,0,60,57,56,0,1
"Awun Lake","1982",1982-09-28,NA,NA,NA,3,1,60,30,29,0,1
"Awun Lake","1983",1983-08-29,"FURUNO FM 22         ",4,378,4,1,75,90,77,12,1
"Awun Lake","1983",1983-08-30,NA,NA,NA,1,0,20,2,1,1,0
"Awun Lake","1984",1984-09-06,"FURUNO FM 22         ",4,255,3,0,45,53,43,10,0
"Awun Lake","1984",1984-09-07,NA,NA,NA,2,0,30,30,28,2,0
"Awun Lake","1985",1985-08-29,"SIMRAD               ",4,596,NA,NA,NA,NA,NA,NA,NA
"Awun Lake","1985",1985-08-30,NA,NA,NA,6,0,90,56,42,14,0
"Awun Lake","1986",1986-09-04,"SIMRAD               ",4,1133,NA,NA,NA,NA,NA,NA,NA
"Awun Lake","1986",1986-09-05,"FURUNO FM 22         ",4,328,NA,NA,NA,NA,NA,NA,NA
"Awun Lake","1991",1991-10-24,"SIMRAD               ",4,267,NA,NA,NA,NA,NA,NA,NA
"Awun Lake","1994",1994-09-02,"SIMRAD               ",4,701,NA,NA,NA,NA,NA,NA,NA
"Bear Lake","1978",1978-07-16,NA,NA,NA,4,0,120,9,9,0,0
"Bear Lake","1978",1978-07-17,NA,NA,NA,1,0,30,1,0,0,1
"Bear Lake","1978",1978-11-25,NA,NA,NA,2,0,43,3,3,0,0
"Bear Lake","1988",1988-09-05,NA,NA,NA,1,0,0,12,12,0,0
"Bear Lake","1988",1988-09-06,NA,NA,NA,4,0,0,5,5,0,0
"Bear Lake","1995",1995-10-01,"SIMRAD               ",6,540,NA,NA,NA,NA,NA,NA,NA
"Bear Lake","1995",1995-10-03,NA,NA,NA,4,0,0,8,7,0,1
"Bonilla Lake","1979",1979-10-04,"FURUNO FM 22         ",4,324,4,0,105,949,634,315,0
"Bonilla Lake","1980",1980-09-17,"FURUNO FM 22         ",4,875,4,1,100,519,131,388,0
"Bonilla Lake","1980",1980-09-18,NA,NA,NA,1,0,15,108,73,35,0
"Bonilla Lake","1981",1981-07-18,NA,NA,NA,2,0,30,154,9,145,0
"Bonilla Lake","1981",1981-07-19,NA,NA,NA,3,2,50,592,55,537,0
"Bonilla Lake","1981",1981-08-19,"FURUNO FM 22         ",4,1246,3,1,35,32,1,31,0
"Bonilla Lake","1981",1981-08-20,NA,NA,NA,7,1,110,440,67,373,0
"Bonilla Lake","1981",1981-09-20,"FURUNO FM 22         ",4,4475,4,1,67,471,54,417,0
"Bonilla Lake","1981",1981-09-21,NA,NA,NA,1,0,25,39,10,29,0
"Bonilla Lake","1982",1982-04-13,"FURUNO FM 22         ",4,124,2,2,35,28,26,2,0
"Bonilla Lake","1982",1982-04-14,NA,NA,NA,2,1,40,207,7,200,0
"Bonilla Lake","1982",1982-10-04,"FURUNO FM 22         ",4,551,5,3,80,524,33,491,0
"Bonilla Lake","1983",1983-09-07,"FURUNO FM 22         ",4,783,4,1,40,186,99,87,0
"Bonilla Lake","1983",1983-09-08,NA,NA,NA,1,0,15,37,0,37,0
"Bonilla Lake","1984",1984-08-27,"FURUNO FM 22         ",4,1210,3,1,45,287,31,256,0
"Bonilla Lake","1984",1984-08-28,NA,NA,NA,8,2,120,465,263,202,0
"Bowser Lake","1991",1991-09-01,NA,NA,NA,1,1,0,4,4,0,0
"Bowser Lake","1991",1991-09-02,NA,NA,NA,4,4,0,13,13,0,0
"Bowser Lake","1992",1992-09-10,NA,NA,NA,1,1,0,2,2,0,0
"Bowser Lake","1992",1992-09-11,NA,NA,NA,9,9,0,19,16,0,3
"Bowser Lake","1993",1993-06-16,NA,NA,NA,2,2,0,4,3,0,1
"Bowser Lake","1993",1993-07-10,NA,NA,NA,1,1,0,4,4,0,0
"Bowser Lake","1993",1993-08-09,NA,NA,NA,2,2,0,9,9,0,0
"Bowser Lake","1993",1993-09-25,NA,NA,NA,8,8,0,41,41,0,0
"Brannen Lake","1986",1986-04-16,"SIMRAD               ",6,1141,3,0,60,394,24,370,0
"Brannen Lake","1990",1990-09-06,NA,NA,NA,2,2,0,4,0,4,0
"Cheewhat Lake","1983",1983-11-01,"FURUNO FM 22         ",6,729,4,1,63,100,58,40,2
"Cheewhat Lake","1984",1984-08-15,"SIMRAD               ",6,1804,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1984",1984-08-16,"SIMRAD               ",6,63,7,0,70,207,204,3,0
"Cheewhat Lake","1984",1985-03-14,"SIMRAD               ",6,1463,7,0,105,86,66,20,0
"Cheewhat Lake","1985",1985-08-20,"SIMRAD               ",6,866,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1985",1985-08-21,NA,NA,NA,9,2,131,161,84,77,0
"Cheewhat Lake","1985",1986-03-19,"SIMRAD               ",6,603,2,1,30,2,1,1,0
"Cheewhat Lake","1985",1986-03-20,NA,NA,NA,8,0,120,145,28,117,0
"Cheewhat Lake","1986",1986-08-02,"SIMRAD               ",6,2068,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1986",1986-08-03,NA,NA,NA,7,0,105,199,147,52,0
"Cheewhat Lake","1986",1986-09-27,"SIMRAD               ",6,2233,4,0,60,132,106,26,0
"Cheewhat Lake","1986",1986-09-28,NA,NA,NA,4,0,58,126,98,28,0
"Cheewhat Lake","1986",1986-12-16,"SIMRAD               ",6,1305,5,0,75,260,97,163,0
"Cheewhat Lake","1987",1987-04-21,"SIMRAD               ",6,1324,1,0,0,3,1,2,0
"Cheewhat Lake","1987",1987-04-28,NA,NA,NA,5,3,0,20,16,1,3
"Cheewhat Lake","1987",1987-06-11,"SIMRAD               ",6,555,1,0,0,4,4,0,0
"Cheewhat Lake","1987",1987-06-12,NA,NA,NA,2,1,0,10,10,0,0
"Cheewhat Lake","1987",1987-08-15,"SIMRAD               ",6,1428,6,0,0,251,220,31,0
"Cheewhat Lake","1987",1987-08-16,NA,NA,NA,3,1,0,80,66,14,0
"Cheewhat Lake","1987",1987-10-18,"SIMRAD               ",6,1379,3,0,0,62,44,18,0
"Cheewhat Lake","1987",1987-11-26,"SIMRAD               ",6,1467,8,2,0,246,25,221,0
"Cheewhat Lake","1987",1988-02-28,"SIMRAD               ",6,266,5,1,0,71,7,64,0
"Cheewhat Lake","1988",1988-05-19,"SIMRAD               ",6,1732,4,2,0,213,17,196,0
"Cheewhat Lake","1988",1988-05-20,NA,NA,NA,3,1,0,24,4,20,0
"Cheewhat Lake","1988",1988-07-21,"SIMRAD               ",6,1676,1,0,0,29,29,0,0
"Cheewhat Lake","1988",1988-07-22,NA,NA,NA,4,0,0,241,240,1,0
"Cheewhat Lake","1988",1988-08-19,"SIMRAD               ",6,1740,2,0,0,94,94,0,0
"Cheewhat Lake","1988",1988-08-20,NA,NA,NA,4,1,0,6,0,6,0
"Cheewhat Lake","1988",1989-03-07,"SIMRAD               ",6,1633,6,0,0,132,82,49,1
"Cheewhat Lake","1989",1989-05-12,NA,NA,NA,5,2,0,89,75,14,0
"Cheewhat Lake","1989",1989-05-30,"SIMRAD               ",6,1779,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1989",1989-05-31,NA,NA,NA,8,2,0,212,193,19,0
"Cheewhat Lake","1989",1989-07-01,"SIMRAD               ",6,1193,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1989",1989-07-02,NA,NA,NA,7,1,0,69,61,8,0
"Cheewhat Lake","1989",1989-07-28,"SIMRAD               ",6,1737,NA,NA,NA,NA,NA,NA,NA
"Cheewhat Lake","1989",1989-07-29,NA,NA,NA,1,0,0,76,75,1,0
"Cheewhat Lake","1989",1989-09-20,"SIMRAD               ",6,1508,1,0,0,69,64,5,0
"Cheewhat Lake","1989",1989-09-21,"SIMRAD               ",6,1536,5,0,0,134,118,16,0
"Cheewhat Lake","1989",1989-10-26,"SIMRAD               ",6,1678,1,0,0,70,5,65,0
"Cheewhat Lake","1989",1989-10-27,NA,NA,NA,5,1,0,187,34,153,0
