"ats_year","lake_code","lake_name","survey_date_trawl","interval_start","interval_end","survey_date_acoustic","source_file","match_status_acoustic","overlap_status_acoustic","count_acoustic_survey","data_note"
"1977","1","Great_Central_Lake",1977-09-28,"1977-09-21","1977-10-05",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1977","1","Great_Central_Lake",1977-09-29,"1977-09-22","1977-10-06",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1977","1","Great_Central_Lake",1977-11-07,"1977-10-31","1977-11-14",1977-11-07,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","1","Great_Central_Lake",1977-11-08,"1977-11-01","1977-11-15",1977-11-07,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","1","Great_Central_Lake",1978-03-09,"1978-03-02","1978-03-16",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1977","1","Great_Central_Lake",NA,NA,NA,1977-09-20,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1977","3","Henderson_Lake",1978-03-13,"1978-03-06","1978-03-20",1978-03-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","3","Henderson_Lake",1978-03-14,"1978-03-07","1978-03-21",1978-03-13,"Trawl, Acoustic","MATCH","Acoustic date matches more than one trawl date",2,"Trawl data rescued"
"1977","3","Henderson_Lake",NA,NA,NA,1977-10-04,"Acoustic","MISMATCH",NA,NA,"Trawl data rescued"
"1977","6","Hobiton_Lake",1977-10-05,"1977-09-28","1977-10-12",1977-10-05,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1977","6","Hobiton_Lake",1978-03-14,"1978-03-07","1978-03-21",1978-03-14,"Trawl, Acoustic","MATCH","Acoustic date matches one trawl date",1,"Trawl data rescued"
"1977","40","Kennedy_Lake_(Clay)",1977-08-16,"1977-08-09","1977-08-23",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
"1977","40","Kennedy_Lake_(Clay)",1977-08-17,"1977-08-10","1977-08-24",NA,"Trawl","MISMATCH",NA,NA,"Trawl data rescued"
