"ats_year","survey_date","lake_code","lake_name","count_trawl","count_acoustic","survey_match"
1977,"1977-08-15",41,"Kennedy Lake (Main)",47,NA,"Trawl only"
1977,"1977-08-16",40,"Kennedy Lake (Clay)",202,NA,"Trawl only"
1977,"1977-08-16",41,"Kennedy Lake (Main)",201,NA,"Trawl only"
1977,"1977-08-17",40,"Kennedy Lake (Clay)",64,NA,"Trawl only"
1977,"1977-09-20",1,"Great Central Lake",NA,78,"Acoustic only"
1977,"1977-09-20",41,"Kennedy Lake (Main)",292,150,"Match"
1977,"1977-09-21",40,"Kennedy Lake (Clay)",453,160,"Match"
1977,"1977-09-21",41,"Kennedy Lake (Main)",571,NA,"Trawl only"
1977,"1977-09-22",40,"Kennedy Lake (Clay)",29,NA,"Trawl only"
1977,"1977-09-28",1,"Great Central Lake",187,NA,"Trawl only"
1977,"1977-09-29",1,"Great Central Lake",101,NA,"Trawl only"
1977,"1977-10-04",3,"Henderson Lake",NA,180,"Acoustic only"
1977,"1977-10-05",6,"Hobiton Lake",60,99,"Match"
1977,"1977-10-26",40,"Kennedy Lake (Clay)",391,160,"Match"
1977,"1977-11-07",1,"Great Central Lake",265,78,"Match"
1977,"1977-11-08",1,"Great Central Lake",876,NA,"Trawl only"
1977,"1978-02-07",40,"Kennedy Lake (Clay)",105,160,"Match"
1977,"1978-02-08",40,"Kennedy Lake (Clay)",18,NA,"Trawl only"
1977,"1978-02-08",41,"Kennedy Lake (Main)",NA,150,"Acoustic only"
1977,"1978-02-09",41,"Kennedy Lake (Main)",634,NA,"Trawl only"
1977,"1978-02-15",8,"Long Lake",333,NA,"Trawl only"
1977,"1978-02-15",801,"Long Lake (A)",NA,90,"Acoustic only"
1977,"1978-02-16",802,"Long Lake (B)",NA,70,"Acoustic only"
1977,"1978-03-09",1,"Great Central Lake",58,NA,"Trawl only"
1977,"1978-03-13",3,"Henderson Lake",31,180,"Match"
1977,"1978-03-14",3,"Henderson Lake",26,NA,"Trawl only"
1977,"1978-03-14",6,"Hobiton Lake",115,99,"Match"
1978,"1978-06-23",43,"Meziadin Lake",71,NA,"Trawl only"
