"survey_date","lake_name","ats_year","count_trawl","count_acoustic"
"1977-08-15","Kennedy Lake (Main)",1977,47,NA
"1977-08-16","Kennedy Lake (Clay)",1977,202,NA
"1977-08-16","Kennedy Lake (Main)",1977,201,NA
"1977-08-17","Kennedy Lake (Clay)",1977,64,NA
"1977-09-20","Kennedy Lake (Main)",1977,292,150
"1977-09-21","Kennedy Lake (Clay)",1977,453,160
"1977-09-21","Kennedy Lake (Main)",1977,571,NA
"1977-09-22","Kennedy Lake (Clay)",1977,29,NA
"1977-09-28","Great Central Lake",1977,187,NA
"1977-09-29","Great Central Lake",1977,101,NA
"1977-10-05","Hobiton Lake",1977,60,99
"1977-10-26","Kennedy Lake (Clay)",1977,391,160
"1977-11-07","Great Central Lake",1977,265,78
"1977-11-08","Great Central Lake",1977,876,NA
"1978-02-07","Kennedy Lake (Clay)",1977,105,160
"1978-02-08","Kennedy Lake (Clay)",1977,18,NA
"1978-02-09","Kennedy Lake (Main)",1977,634,NA
"1978-02-15","Long Lake",1977,333,NA
"1978-03-09","Great Central Lake",1977,58,NA
"1978-03-13","Henderson Lake",1977,31,180
"1978-03-14","Henderson Lake",1977,26,NA
"1978-03-14","Hobiton Lake",1977,115,99
"1978-06-23","Meziadin Lake",1978,71,NA
"1978-06-24","Meziadin Lake",1978,126,NA
"1978-06-26","Fred Wright Lake",1978,285,NA
"1978-06-29","Kitlope Lake",1978,6,40
"1978-06-30","Kitlope Lake",1978,44,NA
"1978-07-04","Swan Lake",1978,2,NA
"1978-07-05","Swan Lake",1978,17,NA
"1978-07-06","Stephens Lake",1978,33,NA
"1978-07-10","Alastair Lake",1978,73,45
"1978-07-16","Bear Lake",1978,9,NA
"1978-07-17","Bear Lake",1978,1,NA
"1978-07-19","Kennedy Lake (Clay)",1978,106,NA
"1978-07-20","Simpson Lake",1978,3,NA
"1978-07-24","Morice Lake",1978,4,NA
"1978-07-25","Morice Lake",1978,1,NA
"1978-08-16","Kennedy Lake (Clay)",1978,681,NA
"1978-08-16","Kennedy Lake (Main)",1978,135,NA
"1978-08-17","Kennedy Lake (Main)",1978,172,NA
"1978-08-23","Long Lake",1978,7,NA
"1978-08-24","Long Lake",1978,30,NA
"1978-09-12","Kennedy Lake (Main)",1978,93,NA
"1978-09-13","Kennedy Lake (Clay)",1978,221,NA
"1978-09-13","Kennedy Lake (Main)",1978,163,NA
"1978-09-14","Kennedy Lake (Clay)",1978,247,NA
"1978-09-15","Kitlope Lake",1978,16,40
"1978-09-20","Lowe Lake",1978,7,36
"1978-09-26","Owikeno Lake",1978,180,NA
"1978-09-27","Owikeno Lake",1978,123,NA
"1978-09-30","Swan Lake",1978,7,NA
"1978-10-01","Stephens Lake",1978,17,NA
"1978-10-05","Fred Wright Lake",1978,249,32
"1978-10-08","Alastair Lake",1978,96,NA
"1978-10-11","Meziadin Lake",1978,245,NA
"1978-11-15","Kennedy Lake (Clay)",1978,224,160
"1978-11-16","Kennedy Lake (Clay)",1978,132,NA
"1978-11-16","Kennedy Lake (Main)",1978,281,150
"1978-11-22","Woss Lake",1978,67,55
"1978-11-23","Vernon Lake",1978,13,NA
"1978-11-25","Bear Lake",1978,3,NA
"1978-11-30","Kennedy Lake (Clay)",1978,319,NA
"1978-11-30","Nimpkish Lake",1978,31,NA
"1979-02-27","Great Central Lake",1978,61,NA
"1979-03-13","Henderson Lake",1978,43,180
"1979-03-14","Henderson Lake",1978,6,NA
"1979-03-14","Hobiton Lake",1978,10,99
"1979-03-21","Long Lake",1978,24,NA
"1979-03-22","Long Lake",1978,55,NA
"1979-03-28","Kennedy Lake (Clay)",1978,274,NA
"1979-05-02","Great Central Lake",1979,13,NA
