"lake_code","lake_name","survey_date_trawl","interval_start","interval_end","ats_year","source_file","survey_date_acoustic","match_status"
"1","Great_Central_Lake",1977-11-07,"1977-11-05","1977-11-09","1977","Trawl, Acoustic",1977-11-07,"MATCH"
"1","Great_Central_Lake",1977-11-08,"1977-11-06","1977-11-10","1977","Trawl, Acoustic",1977-11-07,"MATCH"
"3","Henderson_Lake",1978-03-13,"1978-03-11","1978-03-15","1977","Trawl, Acoustic",1978-03-13,"MATCH"
"3","Henderson_Lake",1978-03-14,"1978-03-12","1978-03-16","1977","Trawl, Acoustic",1978-03-13,"MATCH"
"6","Hobiton_Lake",1977-10-05,"1977-10-03","1977-10-07","1977","Trawl, Acoustic",1977-10-05,"MATCH"
"6","Hobiton_Lake",1978-03-14,"1978-03-12","1978-03-16","1977","Trawl, Acoustic",1978-03-14,"MATCH"
"40","Kennedy_Lake_(Clay)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic",1977-09-21,"MATCH"
"40","Kennedy_Lake_(Clay)",1977-09-22,"1977-09-20","1977-09-24","1977","Trawl, Acoustic",1977-09-21,"MATCH"
"40","Kennedy_Lake_(Clay)",1977-10-26,"1977-10-24","1977-10-28","1977","Trawl, Acoustic",1977-10-26,"MATCH"
"40","Kennedy_Lake_(Clay)",1978-02-07,"1978-02-05","1978-02-09","1977","Trawl, Acoustic",1978-02-07,"MATCH"
"40","Kennedy_Lake_(Clay)",1978-02-08,"1978-02-06","1978-02-10","1977","Trawl, Acoustic",1978-02-07,"MATCH"
"41","Kennedy_Lake_(Main)",1977-09-20,"1977-09-18","1977-09-22","1977","Trawl, Acoustic",1977-09-20,"MATCH"
"41","Kennedy_Lake_(Main)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic",1977-09-20,"MATCH"
"41","Kennedy_Lake_(Main)",1978-02-09,"1978-02-07","1978-02-11","1977","Trawl, Acoustic",1978-02-08,"MATCH"
"12","Alastair_Lake",1978-07-10,"1978-07-08","1978-07-12","1978","Trawl, Acoustic",1978-07-10,"MATCH"
"11","Fred_Wright_Lake",1978-10-05,"1978-10-03","1978-10-07","1978","Trawl, Acoustic",1978-10-05,"MATCH"
"3","Henderson_Lake",1979-03-13,"1979-03-11","1979-03-15","1978","Trawl, Acoustic",1979-03-13,"MATCH"
"3","Henderson_Lake",1979-03-14,"1979-03-12","1979-03-16","1978","Trawl, Acoustic",1979-03-13,"MATCH"
"6","Hobiton_Lake",1979-03-14,"1979-03-12","1979-03-16","1978","Trawl, Acoustic",1979-03-14,"MATCH"
"40","Kennedy_Lake_(Clay)",1978-08-16,"1978-08-14","1978-08-18","1978","Trawl, Acoustic",1978-08-15,"MATCH"
"40","Kennedy_Lake_(Clay)",1978-11-15,"1978-11-13","1978-11-17","1978","Trawl, Acoustic",1978-11-15,"MATCH"
"40","Kennedy_Lake_(Clay)",1978-11-16,"1978-11-14","1978-11-18","1978","Trawl, Acoustic",1978-11-15,"MATCH"
"41","Kennedy_Lake_(Main)",1978-08-16,"1978-08-14","1978-08-18","1978","Trawl, Acoustic",1978-08-14,"MATCH"
"41","Kennedy_Lake_(Main)",1978-11-16,"1978-11-14","1978-11-18","1978","Trawl, Acoustic",1978-11-16,"MATCH"
"17","Kitlope_Lake",1978-06-29,"1978-06-27","1978-07-01","1978","Trawl, Acoustic",1978-06-29,"MATCH"
"17","Kitlope_Lake",1978-06-30,"1978-06-28","1978-07-02","1978","Trawl, Acoustic",1978-06-29,"MATCH"
"17","Kitlope_Lake",1978-09-15,"1978-09-13","1978-09-17","1978","Trawl, Acoustic",1978-09-15,"MATCH"
"20","Lowe_Lake",1978-09-20,"1978-09-18","1978-09-22","1978","Trawl, Acoustic",1978-09-20,"MATCH"
"21","Nimpkish_Lake",1978-11-30,"1978-11-28","1978-12-02","1978","Trawl, Acoustic",1978-11-29,"MATCH"
"23","Vernon_Lake",1978-11-23,"1978-11-21","1978-11-25","1978","Trawl, Acoustic",1978-11-21,"MATCH"
"22","Woss_Lake",1978-11-22,"1978-11-20","1978-11-24","1978","Trawl, Acoustic",1978-11-22,"MATCH"
"27","Awun_Lake",1979-08-01,"1979-07-30","1979-08-03","1979","Trawl, Acoustic",1979-07-31,"MATCH"
"31","Bonilla_Lake",1979-10-04,"1979-10-02","1979-10-06","1979","Trawl, Acoustic",1979-10-04,"MATCH"
"28","Curtis_Lake",1979-10-14,"1979-10-12","1979-10-16","1979","Trawl, Acoustic",1979-10-14,"MATCH"
"29","Devon_Lake",1979-10-08,"1979-10-06","1979-10-10","1979","Trawl, Acoustic",1979-10-08,"MATCH"
"29","Devon_Lake",1979-10-09,"1979-10-07","1979-10-11","1979","Trawl, Acoustic",1979-10-08,"MATCH"
"25","Eden_Lake",1979-08-04,"1979-08-02","1979-08-06","1979","Trawl, Acoustic",1979-08-04,"MATCH"
"25","Eden_Lake",1979-08-05,"1979-08-03","1979-08-07","1979","Trawl, Acoustic",1979-08-04,"MATCH"
"1","Great_Central_Lake",1979-07-19,"1979-07-17","1979-07-21","1979","Trawl, Acoustic",1979-07-18,"MATCH"
"1","Great_Central_Lake",1979-12-19,"1979-12-17","1979-12-21","1979","Trawl, Acoustic",1979-12-20,"MATCH"
"6","Hobiton_Lake",1980-03-11,"1980-03-09","1980-03-13","1979","Trawl, Acoustic",1980-03-10,"MATCH"
"26","Ian_Lake",1979-07-28,"1979-07-26","1979-07-30","1979","Trawl, Acoustic",1979-07-27,"MATCH"
"26","Ian_Lake",1979-07-29,"1979-07-27","1979-07-31","1979","Trawl, Acoustic",1979-07-27,"MATCH"
