"ats_year","lake_code","lake_name","survey_date_trawl","survey_date_acoustic","survey_date_inventory","interval_start","interval_end","source_file","match_status","match_status_inventory","final_match"
"1977","1","Great_Central_Lake",1977-11-07,1977-11-07,1977-11-07,"1977-11-05","1977-11-09","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","1","Great_Central_Lake",1977-11-08,1977-11-07,1977-11-07,"1977-11-06","1977-11-10","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","1","Great_Central_Lake",NA,1977-09-20,1977-09-20,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1977","1","Great_Central_Lake",NA,NA,1977-09-28,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","1","Great_Central_Lake",NA,NA,1977-09-29,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","1","Great_Central_Lake",NA,NA,1977-11-08,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","1","Great_Central_Lake",NA,NA,1978-03-09,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","3","Henderson_Lake",1978-03-13,1978-03-13,1978-03-13,"1978-03-11","1978-03-15","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","3","Henderson_Lake",1978-03-14,1978-03-13,1978-03-13,"1978-03-12","1978-03-16","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","3","Henderson_Lake",NA,1977-10-04,1977-10-04,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1977","3","Henderson_Lake",NA,NA,1978-03-14,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","6","Hobiton_Lake",1977-10-05,1977-10-05,1977-10-05,"1977-10-03","1977-10-07","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","6","Hobiton_Lake",1978-03-14,1978-03-14,1978-03-14,"1978-03-12","1978-03-16","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","40","Kennedy_Lake_(Clay)",1977-09-21,1977-09-21,1977-09-21,"1977-09-19","1977-09-23","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","40","Kennedy_Lake_(Clay)",1977-09-22,1977-09-21,1977-09-21,"1977-09-20","1977-09-24","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","40","Kennedy_Lake_(Clay)",1977-10-26,1977-10-26,1977-10-26,"1977-10-24","1977-10-28","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","40","Kennedy_Lake_(Clay)",1978-02-07,1978-02-07,1978-02-07,"1978-02-05","1978-02-09","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","40","Kennedy_Lake_(Clay)",1978-02-08,1978-02-07,1978-02-07,"1978-02-06","1978-02-10","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","40","Kennedy_Lake_(Clay)",NA,NA,1977-08-16,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","40","Kennedy_Lake_(Clay)",NA,NA,1977-08-17,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","40","Kennedy_Lake_(Clay)",NA,NA,1977-09-22,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","40","Kennedy_Lake_(Clay)",NA,NA,1978-02-08,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","41","Kennedy_Lake_(Main)",1977-09-20,1977-09-20,1977-09-20,"1977-09-18","1977-09-22","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","41","Kennedy_Lake_(Main)",1977-09-21,1977-09-20,1977-09-20,"1977-09-19","1977-09-23","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","41","Kennedy_Lake_(Main)",1978-02-09,1978-02-08,1978-02-08,"1978-02-07","1978-02-11","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1977","41","Kennedy_Lake_(Main)",NA,NA,1977-08-15,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","41","Kennedy_Lake_(Main)",NA,NA,1977-08-16,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","41","Kennedy_Lake_(Main)",NA,NA,1977-09-21,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","41","Kennedy_Lake_(Main)",NA,NA,1978-02-09,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","8","Long_Lake",NA,NA,1978-02-15,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1977","801","Long_Lake_(A)",NA,1978-02-15,1978-02-15,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1977","802","Long_Lake_(B)",NA,1978-02-16,1978-02-16,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1978","12","Alastair_Lake",1978-07-10,1978-07-10,1978-07-10,"1978-07-08","1978-07-12","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","12","Alastair_Lake",NA,NA,1978-10-08,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","16","Bear_Lake",NA,NA,1978-07-16,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","16","Bear_Lake",NA,NA,1978-11-25,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","11","Fred_Wright_Lake",1978-10-05,1978-10-05,1978-10-05,"1978-10-03","1978-10-07","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","11","Fred_Wright_Lake",NA,NA,1978-06-26,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","1","Great_Central_Lake",NA,1978-07-31,1978-07-31,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1978","1","Great_Central_Lake",NA,1978-09-06,1978-09-06,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1978","1","Great_Central_Lake",NA,1978-10-17,1978-10-17,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1978","1","Great_Central_Lake",NA,1978-12-05,1978-12-05,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1978","1","Great_Central_Lake",NA,NA,1979-02-27,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","1","Great_Central_Lake",NA,NA,1979-03-13,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","3","Henderson_Lake",1979-03-13,1979-03-13,1979-03-13,"1979-03-11","1979-03-15","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","3","Henderson_Lake",1979-03-14,1979-03-13,1979-03-13,"1979-03-12","1979-03-16","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","3","Henderson_Lake",NA,NA,1979-03-14,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","6","Hobiton_Lake",1979-03-14,1979-03-14,1979-03-14,"1979-03-12","1979-03-16","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","40","Kennedy_Lake_(Clay)",1978-08-16,1978-08-15,1978-08-15,"1978-08-14","1978-08-18","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","40","Kennedy_Lake_(Clay)",1978-11-15,1978-11-15,1978-11-15,"1978-11-13","1978-11-17","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","40","Kennedy_Lake_(Clay)",1978-11-16,1978-11-15,1978-11-15,"1978-11-14","1978-11-18","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","40","Kennedy_Lake_(Clay)",NA,NA,1978-07-19,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","40","Kennedy_Lake_(Clay)",NA,NA,1978-08-16,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","40","Kennedy_Lake_(Clay)",NA,NA,1978-09-13,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","40","Kennedy_Lake_(Clay)",NA,NA,1978-09-14,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","40","Kennedy_Lake_(Clay)",NA,NA,1978-11-16,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","40","Kennedy_Lake_(Clay)",NA,NA,1978-11-30,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","41","Kennedy_Lake_(Main)",1978-08-16,1978-08-14,1978-08-14,"1978-08-14","1978-08-18","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","41","Kennedy_Lake_(Main)",1978-11-16,1978-11-16,1978-11-16,"1978-11-14","1978-11-18","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","41","Kennedy_Lake_(Main)",NA,NA,1978-08-16,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","41","Kennedy_Lake_(Main)",NA,NA,1978-08-17,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","41","Kennedy_Lake_(Main)",NA,NA,1978-09-12,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","41","Kennedy_Lake_(Main)",NA,NA,1978-09-13,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","17","Kitlope_Lake",1978-06-29,1978-06-29,1978-06-29,"1978-06-27","1978-07-01","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","17","Kitlope_Lake",1978-06-30,1978-06-29,1978-06-29,"1978-06-28","1978-07-02","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","17","Kitlope_Lake",1978-09-15,1978-09-15,1978-09-15,"1978-09-13","1978-09-17","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","17","Kitlope_Lake",NA,NA,1978-06-30,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","8","Long_Lake",NA,NA,1978-08-23,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","8","Long_Lake",NA,NA,1978-08-24,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","8","Long_Lake",NA,NA,1979-03-21,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","8","Long_Lake",NA,NA,1979-03-22,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","801","Long_Lake_(A)",NA,1979-03-21,1979-03-21,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1978","802","Long_Lake_(B)",NA,1978-08-23,1978-08-23,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1978","802","Long_Lake_(B)",NA,1979-03-22,1979-03-22,NA,NA,"Acoustic, Inventory","MISMATCH",NA,"MISMATCH"
"1978","20","Lowe_Lake",1978-09-20,1978-09-20,1978-09-20,"1978-09-18","1978-09-22","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","43","Meziadin_Lake",NA,NA,1978-06-23,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","43","Meziadin_Lake",NA,NA,1978-06-24,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","43","Meziadin_Lake",NA,NA,1978-10-11,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","15","Morice_Lake",NA,NA,1978-07-24,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","21","Nimpkish_Lake",1978-11-30,1978-11-29,1978-11-29,"1978-11-28","1978-12-02","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1978","21","Nimpkish_Lake",NA,NA,1978-11-30,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","18","Owikeno_Lake",NA,NA,1978-09-26,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","18","Owikeno_Lake",NA,NA,1978-09-27,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","19","Simpson_Lake",NA,NA,1978-07-20,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","14","Stephens_Lake",NA,NA,1978-07-06,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","14","Stephens_Lake",NA,NA,1978-10-01,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","13","Swan_Lake",NA,NA,1978-07-04,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","13","Swan_Lake",NA,NA,1978-07-05,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","13","Swan_Lake",NA,NA,1978-09-30,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","23","Vernon_Lake",NA,NA,1978-11-23,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1978","22","Woss_Lake",1978-11-22,1978-11-22,1978-11-22,"1978-11-20","1978-11-24","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","27","Awun_Lake",NA,NA,1979-08-01,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","31","Bonilla_Lake",1979-10-04,1979-10-04,1979-10-04,"1979-10-02","1979-10-06","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","28","Curtis_Lake",1979-10-14,1979-10-14,1979-10-14,"1979-10-12","1979-10-16","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","29","Devon_Lake",1979-10-08,1979-10-08,1979-10-08,"1979-10-06","1979-10-10","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","29","Devon_Lake",1979-10-09,1979-10-08,1979-10-08,"1979-10-07","1979-10-11","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","29","Devon_Lake",NA,NA,1979-10-09,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","25","Eden_Lake",1979-08-04,1979-08-04,1979-08-04,"1979-08-02","1979-08-06","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","25","Eden_Lake",1979-08-05,1979-08-04,1979-08-04,"1979-08-03","1979-08-07","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","25","Eden_Lake",NA,NA,1979-08-05,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",1979-07-19,1979-07-18,1979-07-18,"1979-07-17","1979-07-21","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","1","Great_Central_Lake",NA,NA,1979-05-02,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",NA,NA,1979-07-19,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",NA,NA,1979-08-22,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",NA,NA,1979-08-23,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",NA,NA,1979-11-01,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",NA,NA,1979-11-02,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",NA,NA,1979-12-19,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",NA,NA,1980-01-14,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","1","Great_Central_Lake",NA,NA,1980-01-15,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","3","Henderson_Lake",NA,NA,1979-11-27,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","6","Hobiton_Lake",1980-03-11,1980-03-10,1980-03-10,"1980-03-09","1980-03-13","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","6","Hobiton_Lake",NA,NA,1980-03-01,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","6","Hobiton_Lake",NA,NA,1980-03-02,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","6","Hobiton_Lake",NA,NA,1980-03-11,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","26","Ian_Lake",NA,NA,1979-07-28,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","26","Ian_Lake",NA,NA,1979-07-29,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","40","Kennedy_Lake_(Clay)",1980-01-23,1980-01-23,1980-01-23,"1980-01-21","1980-01-25","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","40","Kennedy_Lake_(Clay)",NA,NA,1979-07-26,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","40","Kennedy_Lake_(Clay)",NA,NA,1979-09-11,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","40","Kennedy_Lake_(Clay)",NA,NA,1979-09-12,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","40","Kennedy_Lake_(Clay)",NA,NA,1979-11-06,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","40","Kennedy_Lake_(Clay)",NA,NA,1979-11-07,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","41","Kennedy_Lake_(Main)",1980-01-22,1980-01-22,1980-01-22,"1980-01-20","1980-01-24","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","41","Kennedy_Lake_(Main)",1980-01-23,1980-01-22,1980-01-22,"1980-01-21","1980-01-25","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","41","Kennedy_Lake_(Main)",NA,NA,1979-07-26,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","41","Kennedy_Lake_(Main)",NA,NA,1979-07-27,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","41","Kennedy_Lake_(Main)",NA,NA,1979-09-12,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","41","Kennedy_Lake_(Main)",NA,NA,1979-09-13,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","41","Kennedy_Lake_(Main)",NA,NA,1979-11-07,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","41","Kennedy_Lake_(Main)",NA,NA,1980-01-23,NA,NA,"Inventory",NA,"MISMATCH","MISMATCH"
"1979","17","Kitlope_Lake",1979-10-18,1979-10-18,1979-10-18,"1979-10-16","1979-10-20","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
"1979","17","Kitlope_Lake",1979-10-19,1979-10-18,1979-10-18,"1979-10-17","1979-10-21","Trawl, Acoustic, Inventory","MATCH","MATCH","MATCH BOTH"
