"lake_code","lake_name","survey_date_trawl","interval_start","interval_end","ats_year","source_file","trawl_number","survey_date_acoustic","id_acoustic","match_status","transect"
"1","Great_Central_Lake",1977-11-07,"1977-11-05","1977-11-09","1977","Trawl, Acoustic","1",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-07,"1977-11-05","1977-11-09","1977","Trawl, Acoustic","2",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-07,"1977-11-05","1977-11-09","1977","Trawl, Acoustic","3",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-07,"1977-11-05","1977-11-09","1977","Trawl, Acoustic","4",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-07,"1977-11-05","1977-11-09","1977","Trawl, Acoustic","5",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-07,"1977-11-05","1977-11-09","1977","Trawl, Acoustic","6",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-08,"1977-11-06","1977-11-10","1977","Trawl, Acoustic","3",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-08,"1977-11-06","1977-11-10","1977","Trawl, Acoustic","4",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-08,"1977-11-06","1977-11-10","1977","Trawl, Acoustic","5",1977-11-07,2,"MATCH",NA
"1","Great_Central_Lake",1977-11-08,"1977-11-06","1977-11-10","1977","Trawl, Acoustic","6",1977-11-07,2,"MATCH",NA
"3","Henderson_Lake",1978-03-13,"1978-03-11","1978-03-15","1977","Trawl, Acoustic","1",1978-03-13,4,"MATCH",NA
"3","Henderson_Lake",1978-03-13,"1978-03-11","1978-03-15","1977","Trawl, Acoustic","2",1978-03-13,4,"MATCH",NA
"3","Henderson_Lake",1978-03-14,"1978-03-12","1978-03-16","1977","Trawl, Acoustic","3",1978-03-13,4,"MATCH",NA
"6","Hobiton_Lake",1977-10-05,"1977-10-03","1977-10-07","1977","Trawl, Acoustic","1",1977-10-05,5,"MATCH",NA
"6","Hobiton_Lake",1978-03-14,"1978-03-12","1978-03-16","1977","Trawl, Acoustic","1",1978-03-14,6,"MATCH",NA
"6","Hobiton_Lake",1978-03-14,"1978-03-12","1978-03-16","1977","Trawl, Acoustic","2",1978-03-14,6,"MATCH",NA
"6","Hobiton_Lake",1978-03-14,"1978-03-12","1978-03-16","1977","Trawl, Acoustic","3",1978-03-14,6,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic","1",1977-09-21,7,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic","2",1977-09-21,7,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic","3",1977-09-21,7,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic","4",1977-09-21,7,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-09-21,"1977-09-19","1977-09-23","1977","Trawl, Acoustic","5",1977-09-21,7,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-09-22,"1977-09-20","1977-09-24","1977","Trawl, Acoustic","6",1977-09-21,7,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-10-26,"1977-10-24","1977-10-28","1977","Trawl, Acoustic","1",1977-10-26,8,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-10-26,"1977-10-24","1977-10-28","1977","Trawl, Acoustic","2",1977-10-26,8,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-10-26,"1977-10-24","1977-10-28","1977","Trawl, Acoustic","3",1977-10-26,8,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-10-26,"1977-10-24","1977-10-28","1977","Trawl, Acoustic","4",1977-10-26,8,"MATCH",NA
"40","Kennedy_Lake_(Clay)",1977-10-26,"1977-10-24","1977-10-28","1977","Trawl, Acoustic","5",1977-10-26,8,"MATCH",NA
