preservative_code,preservative_description,preservative_description_short,weight_conversion_formula,calc_value,preservative_note
0,Weighed fresh - no preservative,Fresh,std weight = weight,1,
1,10% Formalin - weighed after 5 weeks,Formalin_10pct_5weeks,std weight = weight/1.115100,1.1151,
2,70% Ethanol - weighed after 5 weeks,ETOH_70pct_5weeks,std weight = weight/0.868429,0.868429,
3,50% Ethanol - weighed after 5 weeks,ETOH_50pct_5weeks,std weight = weight/0.832408,0.832408,
4,10% Formalin - weighed after 5 months,Formalin_10pct_>5months,std weight = weight /1.075312,1.075312,
5,95% Ethanol,ETOH_95pct,std weight = . ,,/* No standard (010884) */
9,Unknown,Unknown,std weight = . ,,
20,10% Formalin for 1 week then Ethanol,Formalin_10pct_1week_then_ETOH,,,Experimental?
30,10% Formalin for 2 weeks then Ethanol,Formalin_10pct_2week_then_ETOH,,,Experimental?
40,10% Formalin for 3 weeks then Ethanol,Formalin_10pct_3week_then_ETOH,,,Experimental?
95,10% Formalin - weighed within 1-2 days,Formalin_10pct_1-2days,std weight = . ,,No conversion formula - assume std_weight = fresh due to very limited preservation time?
96,10% Formalin - weighed after 3 weeks,Formalin_10pct_3weeks,std weight = weight /1.116898,1.116898,
97,10% Formalin - weighed after 4 weeks,Formalin_10pct_4weeks,std weight = weight /1.075312,1.075312,
98,Unknown preservative,Unknown,std weight = . ,,
99,10% Formalin/Assumed (pre-1979 data),Formalin_10pct_5weeks_assumed,std weight = weight /1.115100,1.1151,
