trawl_unique_ID,old_start_time,new_start_time,old_end_time,new_end_time,calc_duration_time,comments_start_end_times
1979-03-22_8_5_50,20:55:00,20:55:00,0:30:00,21:30:00,215,changed end time to 21:30
1978-11-23_23_4_58,21:01:00,21:01:00,0:20:00,21:20:00,199,changed end time to 21:20
1981-09-04_41_4_12,1:06:00,1:06:00,11:21:00,1:21:00,615,changed end time to 1:21
1981-12-15_41_2_30,21:50:00,20:51:00,21:11:00,21:11:00,1401,changed start time to 20:51
1984-10-28_3_5_12,13:44:00,23:44:00,23:59:00,23:59:00,615,changed start time to 23:44
1984-05-02_40_5_5,0:59:00,0:59:00,0:14:00,1:14:00,1395,changed end time to 01:14
1984-06-13_40_4_9,23:51:00,23:51:00,23:06:00,0:06:00,1395,changed end time to 00:06
1984-07-12_40_10_11,0:19:00,0:19:00,1:34:00,0:34:00,75,changed end time to 00:34
1984-08-15_40_2_12,0:59:00,0:59:00,0:14:00,1:14:00,1395,changed end time to 1:14
1984-09-14_8_8_5,2:23:00,2:23:00,10:38:00,2:38:00,495,changed end time to 2:38 
1984-11-12_8_24_0,20:26:00,20:26:00,22:41:00,20:41:00,135,changed end time to 20:41
1984-10-27_118_8_20,1:52:00,1:52:00,20:27:00,2:07:00,1115,changed end time to 2:07
1984-11-08_21_1_0,18:30:00,18:30:00,13:45:00,18:45:00,1155,changed end time to 18:45
1984-09-10_69_3_0,21:49:00,21:49:00,23:04:00,22:04:00,75,changed end time to 22:04
1985-08-15_40_9_10,1:53:00,1:53:00,3:08:00,2:08:00,75,changed end time to 2:08
1978-09-12_41_1_10,20:55:00,20:55:00,21:50:00,21:05:00,55,changed end time to 21:05
