fish_unique_ID,old_value_length,new_value_length,old_value_weight,new_value_weight,length_weight_comment
1984-10-15_1_1_0_1_1_1.13_0,0,,1.13,1.13,"Weight=1.13 and length=0, incomplete data, replaced by NA"
1985-12-11_41_4_15_2_16_0.34_3,3,30,0.34,0.34,"length to 30 mm from 3, weight is correct"
1986-09-01_6_2_12_1_1_58_48,48,58,58,1.86,"Weight=58 and length=48, mismatch, corrected to weight=1.86 length=58"
1987-02-25_41_1_7_27_2_0.19_0.3,0.3,30,0.19,0.19,"length to 30 mm from .30, likely typo"
1987-07-31_29_5_0_2_2_1.05_0.49,0.49,49,1.05,1.05,"length to 49 mm from 0.49, likely typo"
1987-09-09_8_10_7_2_55_1.46_544,544,54,1.46,1.46,"length to 54 mm from 544, likely typo"
1987-09-09_8_13_20_1_42_1.033_455,455,45,1.033,1.033,"length to 45 mm from 455, likely typo"
1987-09-09_8_13_20_1_54_1.36_500,500,50,1.36,1.36,"length to 50 mm from 500, likely typo"
1987-09-09_8_8_20_1_135_0.66_400,400,40,0.66,0.66,"length to 40 mm from 400, likely typo"
1987-09-09_8_8_20_1_146_0.64_399,399,39,0.64,0.64,"length to 39 mm from 399, likely typo"
1987-09-09_8_8_20_1_21_1.31_500,500,50,1.31,1.31,"length to 50 mm from 500, likely typo"
1987-09-09_8_9_7_2_81_0.84_444,444,44,0.84,0.84,"length to 44 mm from 444, likely typo"
1987-11-26_107_4_16_2_23_1.74_555,555,55,1.74,1.74,"length to 55 mm from 555, likely typo"
1987-11-29_118_8_20_9_1_0_1.88,1.88,,0,,"Weight=0 and length=1.88, inconsistent data, replaced by NA"
1989-02-22_44_3_30_1_3_0.73_4,4,40,0.73,0.73,"Weight correct and length=4, likely typo, length to 40 mm from 4"
1989-06-03_41_15_10_7_78_30_0.26,0.26,30,30,0.26,"Weight/length values were swapped in original file, corrected in final dataset"
1989-06-29_1_1_10_7_50_0.16_0.27,0.27,27,0.16,0.16,"Weight correct and length=0.27, likely typo, length to 27 mm from 0.27"
1990-06-22_802_1_6_2_48_0.46_0.38,0.38,38,0.46,0.46,length to 38 mm from .38
1991-03-12_18_2_7_2_8_36_33,33,33,36,3.6,"weight to 3.6 from 36, likely typo"
1991-09-14_66_99_10_7_2_1.13_5,5,50,1.13,1.13,"Weight correct and length=5, likely typo, length to 50 mm from 5"
1992-08-12_22_1_24_7_126_66_41,41,41,66,0.66,"weight to .66 from 66, likely typo"
1992-08-12_22_1_24_7_133_97_46,46,46,97,0.97,"weight to .97 mm from 97, likely typo"
1992-08-12_22_2_28_7_133_105_46,46,46,105,1.05,"weight to 1.05 from 105, likely typo"
1992-08-12_22_2_28_7_134_66_42,42,42,66,0.66,"weight to .66 from 66, likely typo"
1992-08-12_23_4_31_7_36_90_45,45,45,90,0.9,"weight to .90 from 90, likely typo"
1992-08-17_214_2_4_2_156_0.23_0.33,0.33,33,0.23,0.23,"length to 33 mm from 0.33, likely typo"
1993-02-25_3_3_55_2_1_96_45,45,45,96,0.96,"weight to .96  from 96 g, likely typo"
1993-07-24_8_4_16_7_46_60_39,39,39,60,6,"weight to 6 g from 60, likely typo"
1995-08-26_18_11_0_7_137_46_35,35,35,46,4.6,"weight to 4.6 g from 46, likely typo"
1995-08-26_18_13_7_7_93_39_53,53,53,39,3.9,"weight to 3.9 g from 39, likely typo"
1995-08-26_18_19_11_7_21_0.61_0.37,0.37,37,0.61,0.61,"Weight correct and length=0.37, likely typo, length to 37 mm from 0.37"
1995-08-30_8_7_7_2_57_999_4,4,40,999,,"length to 40 mm from 4, likely typo"
1996-08-22_18_25_0_2_70_0.11_2.5,2.5,25,0.11,0.11,"length to 25 mm from 2.5, likely typo"
1996-08-22_18_25_0_2_71_0.16_2.7,2.7,27,0.16,0.16,"length to 27 mm from 2.7, likely typo"
1997-02-20_41_5_8_26_72_0.11_0.28,0.28,28,0.11,0.11,"length to 28 mm from .28, likely typo"
1999-09-08_802_2_8_7_268_0_0,0,,0,,"Weight=0 and length=0, missing data, replaced by NA"
