lake_code,lake_name,lake_latitude,lake_longitude
10,A23 TF (Alberni),49 deg 05 min,124 deg 50 min
33,A23 TF (Barkley),48 deg 51 min,125 deg 23 min
30,A23 TF (Uchuckl),49 deg 00 min,125 deg 00 min
162,A23 TF (total),49 deg 05 min,124 deg 50 min
81,Adams Lake,51 deg 09 min,119 deg 39 min
12,Alastair Lake,54 deg 05 min,129 deg 11 min
90,Alligator Lake,60 deg 23 min,135 deg 21 min
72,Amor Lake,50 deg 10 min,125 deg 34 min
86,Anderson Lake,50 deg 38 min,122 deg 25 min
126,Anutz Lake,50 deg 18 min,126 deg 55 min
4,Area 23 Cm Fshry,48 deg 55 min,125 deg 23 min
172,Ark Lake,48 deg 30 min,123 deg 36 min
127,Atluck Lake,50 deg 12 min,126 deg 57 min
187,Atnarko R,NA,NA
27,Awun Lake,53 deg 36 min,132 deg 35 min
46,Babine Lake,54 deg 45 min,126 deg 00 min
16,Bear Lake,56 deg 08 min,126 deg 49 min
199,Bernard Pt.,NA,NA
91,Bigkalzas Lake,63 deg 15 min,134 deg 35 min
116,Black Lake,48 deg 46 min,124 deg 54 min
34,Bonanza Lake,50 deg 22 min,126 deg 46 min
31,Bonilla Lake,53 deg 31 min,130 deg 15 min
220,Bonney Lake,NA,NA
87,Bowron Lake,53 deg 14 min,121 deg 22 min
35,Bowser Lake,56 deg 25 min,129 deg 30 min
161,Brannen Lake,49 deg 13 min,124 deg 03 min
207,Burrough Pt.,NA,NA
178,Butedale Lake,53 deg 08 min,128 deg 44 min
36,Campbell Lake,49 deg 55 min,125 deg 40 min
144,Cannery Bay,49 deg 09 min,125 deg 41 min
190,Canoe Ck,NA,NA
107,Cheewhat Lake,48 deg 41 min,125 deg 45 min
166,Cheewhat Lake S-1,48 deg 41 min,124 deg 45 min
167,Cheewhat Lake S-2,48 deg 41 min,124 deg 45 min
143,Cheewhat River,40 deg 00 min,124 deg 47 min
74,Chilko Lake,51 deg 24 min,124 deg 10 min
47,Christina Lake,57 deg 14 min,131 deg 58 min
48,Chutine Lake,57 deg 46 min,132 deg 24 min
92,Claire Lake,53 deg 03 min,126 deg 11 min
168,Clearwater Creek,50 deg 37 min,125 deg 16 min
93,Coghlan Lake,61 deg 33 min,135 deg 29 min
233,Cole Ck,NA,NA
37,Comox Lake,49 deg 37 min,125 deg 10 min
173,Con Lake,48 deg 39 min,123 deg 36 min
195,Congreve Is.,NA,NA
117,Consinka Lake,48 deg 57 min,124 deg 58 min
179,Cougar Lake,53 deg 01 min,128 deg 51 min
185,Cowichan Lake,48 deg 50 min,124 deg 20 min
114,Cultus Lake,50 deg 52 min,121 deg 03 min
28,Curtis Lake,53 deg 30 min,129 deg 50 min
38,Damdochax Lake,56 deg 30 min,128 deg 06 min
154,Deep Lake (Oshinow),49 deg 27 min,125 deg 20 min
177,Deer Lake,53 deg 07 min,128 deg 59 min
29,Devon Lake,53 deg 27 min,129 deg 45 min
128,Dezadeash Lake,60 deg 28 min,136 deg 58 min
209,Diplock Is.,NA,NA
139,Doobah Lake,48 deg 43 min,124 deg 45 min
214,Dragon Lake,52 deg 34 min,122 deg 25 min
193,Dunsmuir Point,NA,NA
25,Eden Lake,53 deg 51 min,132 deg 43 min
181,Ellerslie Lake,52 deg 32 min,127 deg 57 min
152,Elsie Lake,49 deg 35 min,125 deg 12 min
94,Ethel Lake,63 deg 22 min,136 deg 06 min
203,Foucault Bluff,NA,NA
95,Fox Lake,61 deg 14 min,135 deg 28 min
88,Francois Lake,54 deg 03 min,125 deg 44 min
89,Fraser Lake,54 deg 05 min,124 deg 45 min
11,Fred Wright Lake,55 deg 58 min,128 deg 47 min
49,Fulmore Lake,50 deg 35 min,125 deg 57 min
70,Gamble Lake,53 deg 31 min,129 deg 24 min
123,Georgie Lake,50 deg 45 min,127 deg 40 min
120,Glendale Lake,50 deg 37 min,125 deg 38 min
211,Glover Ck (GCL),49 deg 20 min,124 deg 59 min
145,Gold River,49 deg 41 min,126 deg 10 min
135,Grande Isle Vil,54 deg 53 min,126 deg 13 min
212,Grant Lake,48 deg 37 min,123 deg 46 min
1,Great Central Lake,49 deg 22 min,125 deg 15 min
221,Halfway Lake,NA,NA
196,Hand Is.,NA,NA
75,Harrison Lake,49 deg 25 min,121 deg 50 min
3,Henderson Lake,49 deg 05 min,125 deg 02 min
119,Hesquiat Lake,49 deg 24 min,126 deg 30 min
50,Heydon Lake,50 deg 33 min,125 deg 40 min
206,Hissin Pt.,NA,NA
6,Hobiton Lake,48 deg 45 min,124 deg 49 min
169,Hocking Pt,49 deg 05 min,124 deg 50 min
39,Horne Lake,49 deg 20 min,124 deg 42 min
215,I.M.P. Yellen,NA,NA
26,Ian Lake,53 deg 45 min,132 deg 35 min
171,Imperial Eagle Ch,48 deg 54 min,125 deg 12 min
182,Ingram Lake,52 deg 38 min,128 deg 00 min
108,Jansen Lake,50 deg 06 min,127 deg 17 min
226,Johanson Lake,NA,NA
