lake_code,lake
1,Great Central Lk
2,Sproat Lk
3,Henderson Lk
4,Area 23 Cm Fshry
5,Kennedy Lk
6,Hobiton Lk
7,Mohun Lk
8,Long  Lk
9,Stamp R
10,A23 TF (Alberni)
11,Fred Wright Lk
12,Alastair Lk
13,Swan Lk
14,Stephens Lk
15,Morice Lk
16,Bear Lk
17,Kitlope Lk
18,Owikeno Lk
19,Simpson Lk
20,Lowe Lk 
21,Nimpkish Lk
22,Woss Lk
23,Vernon Lk
24,Schoen Lk
25,Eden Lk
26,Ian Lk
27,Awun Lk
28,Curtis Lk
29,Devon Lk
30,A23 TF (Uchuckl)
31,Bonilla Lk
32,Mercer Lk
33,A23 TF (Barkley)
34,Bonanza Lk
35,Bowser Lk
36,Campbell Lk
37,Comox Lk
38,Damdochax Lk
39,Horne Lk
40,Kennedy L (Clay)
41,Kennedy L (Main)
42,Klaklakama Lk
43,Meziadin Lk
44,Muriel Lk
45,Muchalat Lk
46,Babine Lk
47,Christina Lk
48,Chutine Lk
49,Fulmore Lk
50,Heydon Lk
51,Kennicot Lk
52,Kingsalmon Lk 
53,Klukshu Lk
54,Kuthai Lk
55,Mathers Lk
56,Morrison  Lk
57,Mosquito Lk
58,Neskataheen Lk
59,Phillips Lk
60,Quatansta Lk
61,Sakinaw Lk
62,Skidegate LK
63,Stuart Lk
64,Tahlan Lk
65,Takla Lk
66,Tatsamenie Lk
67,Trapper Lk
68,Trembleur Lk
69,Yakoun Lk
70,Gamble Lk
71,Weare Lk
72,Amor Lk
73,Patterson
74,Chilko Lk
75,Harrison Lk
76,Pitt Lk
77,Shuswap Lk
78,Taseko Lk
79,Mara Lk
80,Quesnel Lk
81,Adams Lk
82,Little Shuswap
83,Lillooet Lk
84,Momich Lk
85,Seton Lk
86,Anderson Lk
87,Bowron Lk
88,Francois Lk
89,Fraser Lk
90,Alligator Lk
91,Bigkalzas Lk
92,Claire Lk
93,Coghlan Lk
94,Ethel Lk
95,Fox Lk
96,Jojo Lk
97,Little Atlin Lk
98,Little Salmon Lk 
99,Mayo Lk
100,Michie Lk
101,Quiet Lk
102,Sekulmun Lk
103,Snafu Lk
104,Twin Lk
105,wellesley Lk
106,Wolf Lk
107,Cheewhat Lk
108,Jansen Lk
109,Miller Lk
110,Port John Lk
111,Maggie Lk
112,Toquart Lk
113,Little Toquart Lk
114,Coultus Lk
115,Uchuck Lk
116,Black Lk
117,Consinka Lk
118,Megin Lk
119,Hesquiat Lk
120,Glendale Lk
121,Nahwitti Lk
122,Quatse Lk
123,Georgie Lk
124,No-Name Lk
125,Stamp Falls
126,Anutz Lk
127,Atluck Lk
128,Dezadeash Lk
129,Long Lk Yukon
130,Upper Mikado Lk
131,Minktrap Lk
132,Nitinat Lk
133,Taye Lk
134,Wyclees Lagoon
135,Grande Isle Vil
136,Lk Washington US
137,Tsusiat Lk
138,Squalicum Lk
139,Doobah Lk
140,Somass River
141,Robertson Creek
142,Sproat River
143,Cheewhat River
144,Cannery Bay 
145,Gold River
146,Little Long Lk
147,Mddle Quinsam Lk
148,Kimsquit Lk
149,Koeye Lk
150,Namu Lk
151,Kwakwa Lk
152,Elsie Lk
153,Nahmint Lk
154,Deep Lk(Oshinow)
155,Skidegate Lk sw
156,Skidegate Lk ne
157,Power Lk
158,Mohun LK (Comida)
159,Sproat L(2 Rivr)
160,Sproat L(Taylor)
161,Brannen Lk
162,A23 TF (total)
163,Sproat L(String)
164,Sproat L(Outlet)
165,Muriel Lk S-1
166,Cheewhat Lk S-1
167,Cheewhat Lk S-2
168,Clearwater Creek
169,Hocking Pt
170,Junction Pass
171,Imperial Eagle Ch
172,Ark Lk
173,Con Lk
174,Low Lk
175,Tuya Lk
176,L Trapper Lk
177,Deer Lk
178,Butedale Lk
179,Cougar Lk
180,Link Lk
181,Ellerslie Lk
182,Ingram Lk
183,Red Bluff Lk
184,Sylvia Lk
185,Cowichan Lk
186,Tankeeah R
187,Atnarko R
188,Moore Lk
189,Kainet Ck
190,Canoe Ck
191,Smokehouse Ck
192,Wannock R
193,Dunsmuir Point
194,Sproat Narrows
195,Congreve Is.
196,Hand Is.
197,Nahmint Bay
198,Nanat Bay
199,Bernard Pt.
200,Polly Pt. 
201,Vernon Bay 
202,Underwood Cove
203,Foucault Bluff
204,Swale Rock
205,Kyen Point
206,Hissin Pt. 
207,Burrough Pt.
208,Rainy Bay
209,Diplock Is.
210,Rutley Is.
211,Glover Ck (GCL)
212,Grant Lk
213,Kwinageese Lk
214,Dragon Lk
215,I.M.P. Yellen
216,Kwinamuck Lk
217,Lava Lk
218,Niska Lk
219,Oweegee Lk
220,Bonney Lk
221,Halfway Lk
222,Roderick Lk
223,McBride Lk
224,Nakina Lk
225,Sustut Lk
226,Johanson Lk
227,Kitwanga Lk
228,Owikeno (A)
229,Owikeno (B)
230,Owikeno (C)
231,Owikeno (D)
232,Sand R
233,Cole Ck
234,Kennedy Lk Hwy B
235,U Kennedy R M74
237,Osoyoos Lk
238,Osoyoos Lk N
239,Osoyoos Lk C
240,Osoyoos Lk S
241,Skaha Lk
801,Long Lk (A)
802,Long Lk (B)
246,Ruby Lk
248,Fulmore_2005
250,Heydon_2005
247,Nahwitti_2005
251,Osoyoos_2005
249,Phillips_2005
252,Quatse_2005
253,Village Bay_2005
255,Skaha_2007
236,Khtada Lk
