"lk.name","lk.code","depth_min","depth_max","Area","Transect","Length"
"ALISTAIR LAKE",12,2,5,685,1,1030
"ALISTAIR LAKE",12,2,5,685,2,987
"ALISTAIR LAKE",12,2,5,685,3,891
"ALISTAIR LAKE",12,2,5,685,4,785
"ALISTAIR LAKE",12,2,5,685,5,664
"ALISTAIR LAKE",12,3,5,685,1,1030
"ALISTAIR LAKE",12,3,5,685,2,987
"ALISTAIR LAKE",12,3,5,685,3,891
"ALISTAIR LAKE",12,3,5,685,4,785
"ALISTAIR LAKE",12,3,5,685,5,664
"ALISTAIR LAKE",12,5,10,623,1,974
"ALISTAIR LAKE",12,5,10,623,2,963
"ALISTAIR LAKE",12,5,10,623,3,836
"ALISTAIR LAKE",12,5,10,623,4,775
"ALISTAIR LAKE",12,5,10,623,5,648
"ALISTAIR LAKE",12,10,15,562,1,699
"ALISTAIR LAKE",12,10,15,562,2,915
"ALISTAIR LAKE",12,10,15,562,3,789
"ALISTAIR LAKE",12,10,15,562,4,736
"ALISTAIR LAKE",12,10,15,562,5,627
"ALISTAIR LAKE",12,15,20,484,1,532
"ALISTAIR LAKE",12,15,20,484,2,849
"ALISTAIR LAKE",12,15,20,484,3,752
"ALISTAIR LAKE",12,15,20,484,4,715
"ALISTAIR LAKE",12,15,20,484,5,605
"ALISTAIR LAKE",12,20,30,377,1,0
"ALISTAIR LAKE",12,20,30,377,2,427
"ALISTAIR LAKE",12,20,30,377,3,710
"ALISTAIR LAKE",12,20,30,377,4,697
"ALISTAIR LAKE",12,20,30,377,5,575
"ALISTAIR LAKE",12,30,40,278,1,0
"ALISTAIR LAKE",12,30,40,278,2,0
"ALISTAIR LAKE",12,30,40,278,3,618
"ALISTAIR LAKE",12,30,40,278,4,641
"ALISTAIR LAKE",12,30,40,278,5,535
"ALISTAIR LAKE",12,40,50,216,1,0
"ALISTAIR LAKE",12,40,50,216,2,0
"ALISTAIR LAKE",12,40,50,216,3,518
"ALISTAIR LAKE",12,40,50,216,4,583
"ALISTAIR LAKE",12,40,50,216,5,493
"ALISTAIR LAKE",12,50,60,180,1,0
"ALISTAIR LAKE",12,50,60,180,2,0
"ALISTAIR LAKE",12,50,60,180,3,419
"ALISTAIR LAKE",12,50,60,180,4,533
"ALISTAIR LAKE",12,50,60,180,5,437
"AWUN LAKE",27,2,5,465,1,648
"AWUN LAKE",27,2,5,465,2,928
"AWUN LAKE",27,2,5,465,3,650
"AWUN LAKE",27,2,5,465,4,295
"AWUN LAKE",27,3,5,465,1,648
"AWUN LAKE",27,3,5,465,2,928
"AWUN LAKE",27,3,5,465,3,650
"AWUN LAKE",27,3,5,465,4,295
"AWUN LAKE",27,5,10,440,1,628
"AWUN LAKE",27,5,10,440,2,917
"AWUN LAKE",27,5,10,440,3,635
"AWUN LAKE",27,5,10,440,4,284
"AWUN LAKE",27,10,15,420,1,592
"AWUN LAKE",27,10,15,420,2,893
"AWUN LAKE",27,10,15,420,3,616
"AWUN LAKE",27,10,15,420,4,266
