---
title: "LDP internship - Data dictionary for original trawl biosample files"
author: "Alice Assmar"
date: "2025-11-01 - 2026-02-28"
---

**Agency Supervisors** Howard Stiff ([Howard.Stiff\@dfo-mpo.gc.ca](mailto:Howard.Stiff@dfo-mpo.gc.ca){.email}), Athena Ogden ([athena.ogden\@dfo-mpo.gc.ca](mailto:athena.ogden@dfo-mpo.gc.ca){.email}), Patrick Thompson ([Patrick.Thompson\@dfo-mpo.gc.ca](mailto:Patrick.Thompson@dfo-mpo.gc.ca){.email})

**CIEE LDP supervisor** David Hunt (LDP Post-Doc, McGill University)

### Data collection

This folder includes original trawl biosample data collected using trawling method in water bodies located in British Columbia, Canada, from 1977 to 1999 by researchers from Fisheries and Oceans Canada. The *.dat data are readable using a text editor, and the SAS data are readable using R package haven. See the section “Data collection and cleaning” for details about which files were used for the final outputted data.


### 01_DAT folder

.dat files from 1984 - 1999

-	These were the data as they were first entered into electronic form. Some of the original field data sheets are still available, but here we have used the *.dat files instead. Here we are showing an example from 1985:
	Figure in html file. Sample screenshot of an Apple computer “DAT” file, with rows annotated for the first trawl survey in the file.
	
-   Each table row (except the header) is one line. 

- Apple DAT file field names and details:

| DATA 		 				| Description |
|--------------------------|----------------------------------------------|
| 280185 					| sample process date |
| 18 						| processor code |
| 6 						| lake code |
| 250484 					| sample date |
| 1 						| sample number |
| TR 						| sample type |
| 1 						| trawl number |
| 2330-2345 				| start-time and end-time. Most files only provide start time. Leading zeros were removed at some point, so "245" or "23" translate to "0245" and "0023" |
| 15 						| duration (minutes) |
| 4 						| depth (m) |
| 1 						| fish species code |
| TR 4.5-4.0 				| trawl location (proximal transects) |
| 1 						| preservative code |
| 6 						| number of fish in sample to LOOP over |
| 67 						| fish 1 - length (mm) |
| 3.12						| fish 1 - weight (g) |
| 1 						| fish 1 - scale number |
|  							| All files have a fourth line. It can be empty or have a letter, which is interpreted as scale book letter |
| 58 						| fish 2 - length |
| 1.85 						| fish 2 - weight |
| 2 						| fish 2 - scale number |
|  							|  |
| 66 						| fish 3 - length |
| 2.89 						| fish 3 - weight |
| 3 						| fish 3 - scale number |
|  							|  |
| 61 						| fish 4 - length |
| 2.15 						| fish 4 - weight |
| 0 						| fish 4 - scale number (0 = no scale) |
|  							|  |
| 51 						| fish 5 - length |
| 1.26 						| fish 5 - weight |
| 0 						| fish 5 - scale number (0 = no scale) |
|  							|  |
| 30 						| fish 6 - length |
| .23 						| fish 6 - weight |
| 0 						| fish 6 - scale number (0 = no scale) |
|  							|  |
| 310185 					| Begin BLOCK 2 - METADATA |


[*.dat Files from 1977-1983*]

- For 1977-1983, the only files available were saved in a tabular text format (also named as \*.dat files) that differed from the original Apple \*.dat file format. These files are the only representative datasets for the early years 1977-1983. Unfortunately, the tabular format did not fully preserve all the original data fields. These files are presumed to have been generated by SAS software, which may have over-written the original TrawlYY.DAT files with the limited tabular format, which resembled this:
	Figure in html file. *.Dat files from 1977-1983.

-   There are 17 columns in the SAS-originated Trawlyy.dat files:

column1: lake code
column2: trawl date
column3: trawl number
column4: species code
column5: Fish number
column6: Length (mm)
column7: Weight (g)
column8: prsrv
column9: age
column10: aged
column11: start time
column12: end time
column13: duration (min)
column14: depth (m)
column15: Number of fish
column16: "procdate" (processing date)
column17: processor (Observer code)

### 01_SAS_Data folder
-   SAS versions of the data have the proprietary binary SAS dataset format, stored as *.sas7bdat files, e.g., Trawl87.sas7bdat.

-   Trawlyy.sas7bdat files include fish data, while trlinfyy.sas7bdat
    files include trawl information, where yy is the ATS year.
    
    -   Names of the variables present in the Trawlyy.sas7bdat files:
        -   date - Sample Date
        -   age - Age
        -   aged - Aging Technique
        -   fishnmbr - Fish
        -   system - System
        -   length - Length (mm)
        -   sample - Sample No.
        -   fspecies - Species
        -   stdwght -Standardized Weight (g)
        -   trwlnmbr - Trawl
        -   weight - Weight (g)
        -   depth
        -   observer - Processor (From 1982 to 1999 only)
        -   Scale - Scale No. (From 1982 to 1999 only)
        -   sclbook - Scale Book (From 1982 to 1999 only)
        
    -   Names of the variables present in the Trlinfyy.sas7bdat files: 
        -   system - System
        -   date - Sample Date
        -   trwlnmbr - Trawl
        -   depth - Depth*
        -   fspecies - Species
        -   statime - Start time
        -   endtime - End time
        -   prsrv - Preservative
        -   observer - Observer
        -   duration - Duration
        -   nmbrfish - Number of fish
        -   comment - Comments


-   Because some of the SAS files are corrupted (see below), and because the SAS datasets are synthetic and derived from the original Apple Computer *.dat files, the data in the *.dat from the Apple *.dat files were given preference when both were available:
    -   Years: 1984, 1988, 1989, 1990, 1991, 1992, 1993, 1995, 1996.

-   The following are corrupted SAS files, because their metadata have some
    structural problem:
    -   trawl85.sas7bdat
    -   trawl86.sas7bdat
    -   trawl87.sas7bdat
    -   trawl94.sas7bdat
    -   trawl97.sas7bdat
    -   trawl98.sas7bdat

### 03_AA_look_up_tables

Contains five .csv lookup and correction tables developed or modified during Alice Assmar’s internship. These tables include information on fish species common names, preservative code formulas, calculated standardized weights, and corrections applied to trawl times and fish length and weight measurements. These reference tables were created to standardize and validate the data by linking coded variables in the dataset to additional descriptive information not originally available in the source databases.

### 04_YS_look_up_tables

Contains five .csv lookup and correction tables developed or modified during Yuliya Shtymburski’s internship. These tables include information on lake names and locations, fish species codes, and preservative code formulas. These reference tables were created to standardize and validate the data by linking coded variables in the dataset to additional descriptive information not originally available in the source databases.
