"process_date","processor","lake_code","lake_name","trawl_date","start_time","end_time","duration_mi","depth_m","trawl_number","fish_total","fish_id","species_code","fish_description","fish_length_mm","fish_weight_g","weight_conversion_formula","preservative_code","preservative_description","sample_number","scale","scale_book","age","aging_technique","aging_technique_name","source_file","source_line","sample_type","trawl_location","trawl_number_comment","trawl_date_comment","time_comment","species_code_comment","preservative_code_comment","depth_m_comment","program_notes","trawl_month","ats_year","trawl_unique_ID","fish_unique_ID"
"1985-01-28",18,6,"Hobiton Lk",1984-04-25,"23:30:00","23:45:00","15",4,1,6,1,1,"Sockeye (Juvenile)",67,3.12,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"1",NA,NA,NA,"trawl84.dat",15,"TR","TR 4.5-4.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_1_4","1984-04-25_6_1_4_1_1_3.12_67"
"1985-01-28",18,6,"Hobiton Lk",1984-04-25,"23:30:00","23:45:00","15",4,1,6,2,1,"Sockeye (Juvenile)",58,1.85,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"2",NA,NA,NA,"trawl84.dat",18,"TR","TR 4.5-4.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_1_4","1984-04-25_6_1_4_1_2_1.85_58"
"1985-01-28",18,6,"Hobiton Lk",1984-04-25,"23:30:00","23:45:00","15",4,1,6,3,1,"Sockeye (Juvenile)",66,2.89,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"3",NA,NA,NA,"trawl84.dat",21,"TR","TR 4.5-4.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_1_4","1984-04-25_6_1_4_1_3_2.89_66"
"1985-01-28",18,6,"Hobiton Lk",1984-04-25,"23:30:00","23:45:00","15",4,1,6,4,1,"Sockeye (Juvenile)",61,2.15,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"0",NA,NA,NA,"trawl84.dat",24,"TR","TR 4.5-4.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_1_4","1984-04-25_6_1_4_1_4_2.15_61"
"1985-01-28",18,6,"Hobiton Lk",1984-04-25,"23:30:00","23:45:00","15",4,1,6,5,1,"Sockeye (Juvenile)",51,1.26,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"0",NA,NA,NA,"trawl84.dat",27,"TR","TR 4.5-4.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_1_4","1984-04-25_6_1_4_1_5_1.26_51"
"1985-01-28",18,6,"Hobiton Lk",1984-04-25,"23:30:00","23:45:00","15",4,1,6,6,1,"Sockeye (Juvenile)",30,0.23,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"0",NA,NA,NA,"trawl84.dat",30,"TR","TR 4.5-4.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_1_4","1984-04-25_6_1_4_1_6_0.23_30"
"1985-01-31",18,6,"Hobiton Lk",1984-04-25,"00:03:00","00:18:00","15",0,2,4,1,1,"Sockeye (Juvenile)",70,3.99,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"1",NA,NA,NA,"trawl84.dat",47,"TR","TR4.0-3.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_2_0","1984-04-25_6_2_0_1_1_3.99_70"
"1985-01-31",18,6,"Hobiton Lk",1984-04-25,"00:03:00","00:18:00","15",0,2,4,2,1,"Sockeye (Juvenile)",60,2.13,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"2",NA,NA,NA,"trawl84.dat",50,"TR","TR4.0-3.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_2_0","1984-04-25_6_2_0_1_2_2.13_60"
"1985-01-31",18,6,"Hobiton Lk",1984-04-25,"00:03:00","00:18:00","15",0,2,4,3,1,"Sockeye (Juvenile)",29,0.22,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"0",NA,NA,NA,"trawl84.dat",53,"TR","TR4.0-3.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_2_0","1984-04-25_6_2_0_1_3_0.22_29"
"1985-01-31",18,6,"Hobiton Lk",1984-04-25,"00:03:00","00:18:00","15",0,2,4,4,1,"Sockeye (Juvenile)",27,0.15,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"0",NA,NA,NA,"trawl84.dat",56,"TR","TR4.0-3.0","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_2_0","1984-04-25_6_2_0_1_4_0.15_27"
"1985-02-04",18,6,"Hobiton Lk",1984-04-25,"00:30:00","00:45:00","15",10,3,16,1,1,"Sockeye (Juvenile)",59,2,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"1",NA,NA,NA,"trawl84.dat",73,"TR","TR 3.5-3","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_3_10","1984-04-25_6_3_10_1_1_2_59"
"1985-02-04",18,6,"Hobiton Lk",1984-04-25,"00:30:00","00:45:00","15",10,3,16,2,1,"Sockeye (Juvenile)",68,3.21,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"2",NA,NA,NA,"trawl84.dat",76,"TR","TR 3.5-3","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_3_10","1984-04-25_6_3_10_1_2_3.21_68"
"1985-02-04",18,6,"Hobiton Lk",1984-04-25,"00:30:00","00:45:00","15",10,3,16,3,1,"Sockeye (Juvenile)",56,1.62,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"3",NA,NA,NA,"trawl84.dat",79,"TR","TR 3.5-3","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_3_10","1984-04-25_6_3_10_1_3_1.62_56"
"1985-02-04",18,6,"Hobiton Lk",1984-04-25,"00:30:00","00:45:00","15",10,3,16,4,1,"Sockeye (Juvenile)",61,2.1,"std weight = weight/1.115100","1","Formalin/5weeks","1",NA,"4",NA,NA,NA,"trawl84.dat",82,"TR","TR 3.5-3","","","","","","","AA - Living Data Program - 2025",4,1984,"1984-04-25_6_3_10","1984-04-25_6_3_10_1_4_2.1_61"
