"process_date","processor","lake_code","lake_name","trawl_date","start_time","end_time","duration_mi","depth_m","trawl_number","fish_total","fish_id","species_code","fish_description","fish_length_mm","fish_weight_g","weight_conversion_formula","preservative_code","preservative_description","sample_number","scale","scale_book","age","aging_technique","aging_technique_name","source_file","source_line","sample_type","trawl_location","scale_book_letter","trawl_number_comment","trawl_date_comment","species_code_comment","preservative_code_comment","depth_m_comment","program_notes","trawl_month","ats_year","trawl_unique_ID","fish_unique_ID"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,1,1,"Sockeye (Juvenile)",51,1.27,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",15,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_1_1.27_51"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,2,1,"Sockeye (Juvenile)",51,1.35,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",19,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_2_1.35_51"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,3,1,"Sockeye (Juvenile)",52,1.37,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",23,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_3_1.37_52"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,4,1,"Sockeye (Juvenile)",53,1.42,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",27,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_4_1.42_53"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,5,1,"Sockeye (Juvenile)",54,1.43,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",31,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_5_1.43_54"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,6,1,"Sockeye (Juvenile)",52,1.3,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",35,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_6_1.3_52"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,7,1,"Sockeye (Juvenile)",53,1.32,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",39,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_7_1.32_53"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,8,1,"Sockeye (Juvenile)",50,1.19,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",43,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_8_1.19_50"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,9,1,"Sockeye (Juvenile)",50,1.18,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",47,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_9_1.18_50"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,10,1,"Sockeye (Juvenile)",53,1.26,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",51,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_10_1.26_53"
"1989-12-19",64,"22","Woss Lk",1989-04-25,"03:16:00",NA,"15",20,10,11,11,1,"Sockeye (Juvenile)",52,1.37,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",55,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-25_22_10_20","1989-04-25_22_10_20_1_11_1.37_52"
"1989-12-15",64,"22","Woss Lk",1989-04-24,"16:03:00",NA,"15",42,1,2,1,1,"Sockeye (Juvenile)",53,1.09,"std weight = weight/1.115100","1","Formalin/5weeks","2",NA,"0",NA,NA,NA,"trawl89.dat",73,"2*2*7.5m TRAWL","LOCATION TR","","","","SOCKEYE (JUV)","10% FORMALIN - WGHD AFT 5 WKS","","AA - Living Data Program - 2025",4,1989,"1989-04-24_22_1_42","1989-04-24_22_1_42_1_1_1.09_53"
