"fish_unique_ID","lake_code.sas","trawl_number.sas","trawl_date.sas","fish_weight_g.sas","duration_mi.sas","lake_code.dat","trawl_number.dat","trawl_date.dat","fish_weight_g.dat","duration_mi.dat","match"
"1989-04-24_22_1_42_1_1_1.09_53","22","1","1989-04-24","1.09","15","22","1","1989-04-24","1.09","15","MATCH"
"1989-04-24_22_1_42_1_2_0.91_47","22","1","1989-04-24","0.91","15","22","1","1989-04-24","0.91","15","MATCH"
"1989-04-24_22_1_42_7_1_0.2_30","22","1","1989-04-24","0.2","15","22","1","1989-04-24","0.2","15","MATCH"
"1989-04-24_22_2_0_1_1_1.88_58","22","2","1989-04-24","1.88","15","22","2","1989-04-24","1.88","15","MATCH"
"1989-04-24_22_2_0_1_10_1.48_53","22","2","1989-04-24","1.48","15","22","2","1989-04-24","1.48","15","MATCH"
"1989-04-24_22_2_0_1_11_0.93_47","22","2","1989-04-24","0.93","15","22","2","1989-04-24","0.93","15","MATCH"
"1989-04-24_22_2_0_1_12_1.22_50","22","2","1989-04-24","1.22","15","22","2","1989-04-24","1.22","15","MATCH"
"1989-04-24_22_2_0_1_13_1.14_49","22","2","1989-04-24","1.14","15","22","2","1989-04-24","1.14","15","MATCH"
"1989-04-24_22_2_0_1_14_1.27_51","22","2","1989-04-24","1.27","15","22","2","1989-04-24","1.27","15","MATCH"
"1989-04-24_22_2_0_1_15_1.43_55","22","2","1989-04-24","1.43","15","22","2","1989-04-24","1.43","15","MATCH"
"1989-04-24_22_2_0_1_16_1.74_58","22","2","1989-04-24","1.74","15","22","2","1989-04-24","1.74","15","MATCH"
"1989-04-24_22_2_0_1_17_1.98_58","22","2","1989-04-24","1.98","15","22","2","1989-04-24","1.98","15","MATCH"
"1989-04-24_22_2_0_1_18_1.22_51","22","2","1989-04-24","1.22","15","22","2","1989-04-24","1.22","15","MATCH"
"1989-04-24_22_2_0_1_19_0.78_46","22","2","1989-04-24","0.78","15","22","2","1989-04-24","0.78","15","MATCH"
"1989-04-24_22_2_0_1_2_1.35_52","22","2","1989-04-24","1.35","15","22","2","1989-04-24","1.35","15","MATCH"
"1989-04-24_22_2_0_1_20_1.45_52","22","2","1989-04-24","1.45","15","22","2","1989-04-24","1.45","15","MATCH"
"1989-04-24_22_2_0_1_21_0.96_50","22","2","1989-04-24","0.96","15","22","2","1989-04-24","0.96","15","MATCH"
"1989-04-24_22_2_0_1_22_1.67_56","22","2","1989-04-24","1.67","15","22","2","1989-04-24","1.67","15","MATCH"
"1989-04-24_22_2_0_1_23_1.15_52","22","2","1989-04-24","1.15","15","22","2","1989-04-24","1.15","15","MATCH"
