"fish_unique_ID","lake_code.sas","trawl_number.sas","trawl_date.sas","fish_id.sas","lake_code.dat","trawl_number.dat","trawl_date.dat","fish_id.dat","match"
"1991-05-24_6_2_1","6","2","1991-05-24","1","6","2","1991-05-24","1","MATCH"
"1991-05-24_6_2_2","6","2","1991-05-24","2","6","2","1991-05-24","2","MATCH"
"1991-05-24_6_2_3","6","2","1991-05-24","3","6","2","1991-05-24","3","MATCH"
"1991-05-24_6_2_4","6","2","1991-05-24","4","6","2","1991-05-24","4","MATCH"
"1991-05-24_6_2_5","6","2","1991-05-24","5","6","2","1991-05-24","5","MATCH"
"1991-05-24_6_2_6","6","2","1991-05-24","6","6","2","1991-05-24","6","MATCH"
"1991-05-24_6_2_7","6","2","1991-05-24","7","6","2","1991-05-24","7","MATCH"
"1991-05-24_6_2_8","6","2","1991-05-24","8","6","2","1991-05-24","8","MATCH"
"1991-05-24_6_2_9","6","2","1991-05-24","9","6","2","1991-05-24","9","MATCH"
"1991-05-24_6_3_1","6","3","1991-05-24","1","6","3","1991-05-24","1","MATCH"
"1991-05-24_6_3_10","6","3","1991-05-24","10","6","3","1991-05-24","10","MATCH"
"1991-05-24_6_3_11","6","3","1991-05-24","11","6","3","1991-05-24","11","MATCH"
"1991-05-24_6_3_12","6","3","1991-05-24","12","6","3","1991-05-24","12","MATCH"
"1991-05-24_6_3_13","6","3","1991-05-24","13","6","3","1991-05-24","13","MATCH"
"1991-05-24_6_3_14","6","3","1991-05-24","14","6","3","1991-05-24","14","MATCH"
"1991-05-24_6_3_15","6","3","1991-05-24","15","6","3","1991-05-24","15","MATCH"
"1991-05-24_6_3_16","6","3","1991-05-24","16","6","3","1991-05-24","16","MATCH"
"1991-05-24_6_3_17","6","3","1991-05-24","17","6","3","1991-05-24","17","MATCH"
"1991-05-24_6_3_18","6","3","1991-05-24","18","6","3","1991-05-24","18","MATCH"
"1991-05-24_6_3_19","6","3","1991-05-24","19","6","3","1991-05-24","19","MATCH"
"1991-05-24_6_3_2","6","3","1991-05-24","2","6","3","1991-05-24","2","MATCH"
"1991-05-24_6_3_3","6","3","1991-05-24","3","6","3","1991-05-24","3","MATCH"
"1991-05-24_6_3_4","6","3","1991-05-24","4","6","3","1991-05-24","4","MATCH"
"1991-05-24_6_3_5","6","3","1991-05-24","5","6","3","1991-05-24","5","MATCH"
"1991-05-24_6_3_6","6","3","1991-05-24","6","6","3","1991-05-24","6","MATCH"
"1991-05-24_6_3_7","6","3","1991-05-24","7","6","3","1991-05-24","7","MATCH"
"1991-05-24_6_3_8","6","3","1991-05-24","8","6","3","1991-05-24","8","MATCH"
"1991-05-24_6_3_9","6","3","1991-05-24","9","6","3","1991-05-24","9","MATCH"
"1991-05-24_6_5_1","6","5","1991-05-24","1","6","5","1991-05-24","1","MATCH"
"1991-05-24_6_5_10","6","5","1991-05-24","10","6","5","1991-05-24","10","MATCH"
"1991-05-24_6_5_11","6","5","1991-05-24","11","6","5","1991-05-24","11","MATCH"
"1991-05-24_6_5_12","6","5","1991-05-24","12","6","5","1991-05-24","12","MATCH"
"1991-05-24_6_5_13","6","5","1991-05-24","13","6","5","1991-05-24","13","MATCH"
"1991-05-24_6_5_14","6","5","1991-05-24","14","6","5","1991-05-24","14","MATCH"
"1991-05-24_6_5_15","6","5","1991-05-24","15","6","5","1991-05-24","15","MATCH"
"1991-05-24_6_5_16","6","5","1991-05-24","16","6","5","1991-05-24","16","MATCH"
"1991-05-24_6_5_17","6","5","1991-05-24","17","6","5","1991-05-24","17","MATCH"
"1991-05-24_6_5_18","6","5","1991-05-24","18","6","5","1991-05-24","18","MATCH"
"1991-05-24_6_5_19","6","5","1991-05-24","19","6","5","1991-05-24","19","MATCH"
"1991-05-24_6_5_2","6","5","1991-05-24","2","6","5","1991-05-24","2","MATCH"
"1991-05-24_6_5_20","6","5","1991-05-24","20","6","5","1991-05-24","20","MATCH"
"1991-05-24_6_5_21","6","5","1991-05-24","21","6","5","1991-05-24","21","MATCH"
"1991-05-24_6_5_22","6","5","1991-05-24","22","6","5","1991-05-24","22","MATCH"
"1991-05-24_6_5_23","6","5","1991-05-24","23","6","5","1991-05-24","23","MATCH"
"1991-05-24_6_5_24","6","5","1991-05-24","24","6","5","1991-05-24","24","MATCH"
"1991-05-24_6_5_25","6","5","1991-05-24","25","6","5","1991-05-24","25","MATCH"
"1991-05-24_6_5_26","6","5","1991-05-24","26","6","5","1991-05-24","26","MATCH"
"1991-05-24_6_5_27","6","5","1991-05-24","27","6","5","1991-05-24","27","MATCH"
"1991-05-24_6_5_28","6","5","1991-05-24","28","6","5","1991-05-24","28","MATCH"
"1991-05-24_6_5_29","6","5","1991-05-24","29","6","5","1991-05-24","29","MATCH"
"1991-05-24_6_5_3","6","5","1991-05-24","3","6","5","1991-05-24","3","MATCH"
"1991-05-24_6_5_30","6","5","1991-05-24","30","6","5","1991-05-24","30","MATCH"
"1991-05-24_6_5_4","6","5","1991-05-24","4","6","5","1991-05-24","4","MATCH"
"1991-05-24_6_5_5","6","5","1991-05-24","5","6","5","1991-05-24","5","MATCH"
"1991-05-24_6_5_6","6","5","1991-05-24","6","6","5","1991-05-24","6","MATCH"
"1991-05-24_6_5_7","6","5","1991-05-24","7","6","5","1991-05-24","7","MATCH"
"1991-05-24_6_5_8","6","5","1991-05-24","8","6","5","1991-05-24","8","MATCH"
"1991-05-24_6_5_9","6","5","1991-05-24","9","6","5","1991-05-24","9","MATCH"
"1991-05-24_6_6_1","6","6","1991-05-24","1","6","6","1991-05-24","1","MATCH"
"1991-05-24_6_6_10","6","6","1991-05-24","10","6","6","1991-05-24","10","MATCH"
"1991-05-24_6_6_11","6","6","1991-05-24","11","6","6","1991-05-24","11","MATCH"
"1991-05-24_6_6_12","6","6","1991-05-24","12","6","6","1991-05-24","12","MATCH"
"1991-05-24_6_6_13","6","6","1991-05-24","13","6","6","1991-05-24","13","MATCH"
"1991-05-24_6_6_14","6","6","1991-05-24","14","6","6","1991-05-24","14","MATCH"
"1991-05-24_6_6_15","6","6","1991-05-24","15","6","6","1991-05-24","15","MATCH"
"1991-05-24_6_6_16","6","6","1991-05-24","16","6","6","1991-05-24","16","MATCH"
"1991-05-24_6_6_17","6","6","1991-05-24","17","6","6","1991-05-24","17","MATCH"
"1991-05-24_6_6_18","6","6","1991-05-24","18","6","6","1991-05-24","18","MATCH"
"1991-05-24_6_6_19","6","6","1991-05-24","19","6","6","1991-05-24","19","MATCH"
"1991-05-24_6_6_2","6","6","1991-05-24","2","6","6","1991-05-24","2","MATCH"
"1991-05-24_6_6_20","6","6","1991-05-24","20","6","6","1991-05-24","20","MATCH"
"1991-05-24_6_6_21","6","6","1991-05-24","21","6","6","1991-05-24","21","MATCH"
"1991-05-24_6_6_22","6","6","1991-05-24","22","6","6","1991-05-24","22","MATCH"
"1991-05-24_6_6_23","6","6","1991-05-24","23","6","6","1991-05-24","23","MATCH"
"1991-05-24_6_6_24","6","6","1991-05-24","24","6","6","1991-05-24","24","MATCH"
"1991-05-24_6_6_25","6","6","1991-05-24","25","6","6","1991-05-24","25","MATCH"
