"trawl_date","trawl_comment","lake_code","lake_name","process_date","processor","start_time","end_time","start_time.sas","end_time.sas","start_time.dat","end_time.dat","duration_mi","depth_m","trawl_number","gear_info","species_code","fish_description","species_code_comment","fish_length_mm","fish_weight_g","weight_conversion_formula","standardized_weight_g","fish_total","fish_id","preservative_code","preservative_description","sample_number","scale_book","scale_book_letter","sas_scale","sas_scale_book","age","aging_technique","aging_technique_name","source_files","source_line","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","sas_comment","time_comment","preservative_code_comment","depth_m_comment","trawl_date_comment","trawl_number_comment","program_notes","merging_update_type",".joyn"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","GRAVID FEMALES",63,2.52,"std weight = weight/1.115100",NA,5,1,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",51900,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_1_2.52_63",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","SUB ADULTS",63,2.52,"std weight = weight/1.115100",NA,6,1,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",57088,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_1_2.52_63",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","GRAVID FEMALES",59,2.11,"std weight = weight/1.115100",NA,5,2,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",51903,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_2_2.11_59",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","SUB ADULTS",59,2.11,"std weight = weight/1.115100",NA,6,2,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",57091,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_2_2.11_59",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","GRAVID FEMALES",59,2.09,"std weight = weight/1.115100",NA,5,3,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",51906,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_3_2.09_59",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","SUB ADULTS",59,2.09,"std weight = weight/1.115100",NA,6,3,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",57094,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_3_2.09_59",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","GRAVID FEMALES",60,2.33,"std weight = weight/1.115100",NA,5,4,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",51909,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_4_2.33_60",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","SUB ADULTS",60,2.33,"std weight = weight/1.115100",NA,6,4,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",57097,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_4_2.33_60",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","GRAVID FEMALES",49,1.32,"std weight = weight/1.115100",NA,5,5,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",51912,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_5_1.32_49",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
"1984-06-26","TR 2 WEST OFFSHORE",40,"Kennedy L (Clay)","1985-02-19","18",NA,NA,NA,NA,"01:47:00","02:02:00","15",6,6,"TR",2,"Stickleback","SUB ADULTS",49,1.32,"std weight = weight/1.115100",NA,6,5,1,"Formalin/5weeks","1","1",NA,NA,NA,NA,NA,NA,"trawl84.dat",57100,"1984-06-26_40_6_6","1984-06-26_40_6_6_2_5_1.32_49",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Single-row","x"
