"trawl_date","trawl_comment","lake_code","process_date","processor","start_time","end_time","duration_mi","depth_m","trawl_number","sample_type","species_info_code","fish_description","species_code_comment","fish_length_mm","fish_weight_g","weight_conversion_formula","standardized_weight_g","fish_total","fish_id","preservative_code","preservative_description","sample_number","scale","scale_book","scale_book_letter","age","aging_technique","aging_technique_name","source_files","source_line","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","comment","time_comment","preservative_code_comment","depth_m_comment","trawl_date_comment","trawl_number_comment","program_notes","merging_update_type",".joyn","invalid_start_time","invalid_end_time","species_code","genus_name","species_name","lake_name","lake_latitude","lake_longitude","invalid_duration_time"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",83,6.34,"std weight = weight/1.115100",NA,90,10,1,"Formalin/5weeks","0",NA,"10",NA,NA,NA,NA,"trawl86.dat",1294,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_10_6.34_83",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",76,4.34,"std weight = weight/1.115100",NA,90,11,1,"Formalin/5weeks","0",NA,"11",NA,NA,NA,NA,"trawl86.dat",1297,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_11_4.34_76",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",101,11.45,"std weight = weight/1.115100",NA,90,12,1,"Formalin/5weeks","0",NA,"12",NA,NA,NA,NA,"trawl86.dat",1300,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_12_11.45_101",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",101,11.72,"std weight = weight/1.115100",NA,90,13,1,"Formalin/5weeks","0",NA,"13",NA,NA,NA,NA,"trawl86.dat",1303,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_13_11.72_101",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",97,9.58,"std weight = weight/1.115100",NA,90,14,1,"Formalin/5weeks","0",NA,"14",NA,NA,NA,NA,"trawl86.dat",1306,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_14_9.58_97",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",91,7.16,"std weight = weight/1.115100",NA,90,15,1,"Formalin/5weeks","0",NA,"15",NA,NA,NA,NA,"trawl86.dat",1309,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_15_7.16_91",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",106,13.34,"std weight = weight/1.115100",NA,90,16,1,"Formalin/5weeks","0",NA,"16",NA,NA,NA,NA,"trawl86.dat",1312,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_16_13.34_106",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",97,10.37,"std weight = weight/1.115100",NA,90,17,1,"Formalin/5weeks","0",NA,"17",NA,NA,NA,NA,"trawl86.dat",1315,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_17_10.37_97",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",94,9.78,"std weight = weight/1.115100",NA,90,18,1,"Formalin/5weeks","0",NA,"18",NA,NA,NA,NA,"trawl86.dat",1318,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_18_9.78_94",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",100,11.15,"std weight = weight/1.115100",NA,90,19,1,"Formalin/5weeks","0",NA,"19",NA,NA,NA,NA,"trawl86.dat",1321,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_19_11.15_100",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",101,11.48,"std weight = weight/1.115100",NA,90,1,1,"Formalin/5weeks","0",NA,"1",NA,NA,NA,NA,"trawl86.dat",1267,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_1_11.48_101",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
"1986-05-02","C",59,"1986-06-30","10","00:00:00",NA,NA,NA,NA,"",1,"Sockeye","Fry",97,9.38,"std weight = weight/1.115100",NA,90,20,1,"Formalin/5weeks","0",NA,"20",NA,NA,NA,NA,"trawl86.dat",1324,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_20_9.38_97",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid","Invalid format",1,"Oncorhynchus","nerka","Phillips Lake","50 deg 35 min","125 deg 21 min","Greater than 60 min, likely error"
