"trawl_date","trawl_comment","lake_code","process_date","processor","start_time","end_time","duration_mi","depth_m","trawl_number","sample_type","species_info_code","fish_description","species_code_comment","fish_length_mm","fish_weight_g","weight_conversion_formula","standardized_weight_g","fish_total","fish_id","preservative_code","preservative_description","sample_number","scale","scale_book","scale_book_letter","age","aging_technique","aging_technique_name","source_files","source_line","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","comment","time_comment","preservative_code_comment","depth_m_comment","trawl_date_comment","trawl_number_comment","program_notes","merging_update_type",".joyn","duplicate_flag","invalid_start_time","invalid_end_time","species_code","genus_name","species_name","lake_name","lake_latitude","lake_longitude","no_species_name_comments","invalid_duration_time","start_t","end_t","calc_duration_time","duration_final","duration_comment"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",53,1.48,"std weight = weight",1.48,14,10,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_10_1.48_53",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",54,1.61,"std weight = weight",1.61,14,11,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_11_1.61_54",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",55,1.6,"std weight = weight",1.6,14,12,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_12_1.6_55",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",55,1.7,"std weight = weight",1.7,14,13,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_13_1.7_55",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",58,1.9,"std weight = weight",1.9,14,14,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_14_1.9_58",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",49,1.14,"std weight = weight",1.14,14,1,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_1_1.14_49",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",49,1.1,"std weight = weight",1.1,14,2,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_2_1.1_49",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",50,1.14,"std weight = weight",1.14,14,3,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_3_1.14_50",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",50,1.29,"std weight = weight",1.29,14,4,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_4_1.29_50",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
"1977-09-20",NA,41,NA,NA,"22:20:00","22:40:00",10,"20","3",NA,1,"Sockeye","Fry",51,1.23,"std weight = weight",1.23,14,5,0,"Fresh",NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-20_41_3_20","1977-09-20_41_3_20_1_5_1.23_51",9,1977,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,1,"Oncorhynchus","nerka","Kennedy Lake (Main)","49 deg 04 min","125 deg 34 min",NA,NA,22H 20M 0S,22H 40M 0S,20,10,"does NOT match calculated start_time and end_time, likely end_time error"
