"trawl_date","trawl_comment","lake_code","lake_name","process_date","processor","start_time","end_time","start_time.sas","end_time.sas","start_time.dat","end_time.dat","duration_mi","depth_m","trawl_number","gear_info","species_code","fish_description","species_code_comment","fish_length_mm","fish_weight_g","weight_conversion_formula","standardized_weight_g","fish_total","fish_id","preservative_code","preservative_description","sample_number","scale_book","scale_book_letter","sas_scale","sas_scale_book","age","aging_technique","aging_technique_name","source_files","source_line","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","sas_comment","time_comment","preservative_code_comment","depth_m_comment","trawl_date_comment","trawl_number_comment","program_notes","merging_update_type",".joyn","duplicate_flag","invalid_start_time","invalid_end_time"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",83,6.34,"std weight = weight/1.115100",5.69,90,10,1,"Formalin/5weeks","0","10",NA,10,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1294,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_10_6.34_83",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",76,4.34,"std weight = weight/1.115100",3.89,90,11,1,"Formalin/5weeks","0","11",NA,11,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1297,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_11_4.34_76",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",101,11.45,"std weight = weight/1.115100",10.27,90,12,1,"Formalin/5weeks","0","12",NA,12,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1300,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_12_11.45_101",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",101,11.72,"std weight = weight/1.115100",10.51,90,13,1,"Formalin/5weeks","0","13",NA,13,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1303,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_13_11.72_101",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",97,9.58,"std weight = weight/1.115100",8.59,90,14,1,"Formalin/5weeks","0","14",NA,14,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1306,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_14_9.58_97",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",91,7.16,"std weight = weight/1.115100",6.42,90,15,1,"Formalin/5weeks","0","15",NA,15,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1309,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_15_7.16_91",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",106,13.34,"std weight = weight/1.115100",11.96,90,16,1,"Formalin/5weeks","0","16",NA,16,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1312,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_16_13.34_106",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",97,10.37,"std weight = weight/1.115100",9.3,90,17,1,"Formalin/5weeks","0","17",NA,17,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1315,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_17_10.37_97",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",94,9.78,"std weight = weight/1.115100",8.77,90,18,1,"Formalin/5weeks","0","18",NA,18,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1318,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_18_9.78_94",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
"1986-05-02","C",59,"Phillips Lk","1986-06-30","10",NA,NA,NA,NA,"00:00:00","NA:NA:00","",NA,NA,"",1,"Sockeye (Juvenile)","",100,11.15,"std weight = weight/1.115100",10,90,19,1,"Formalin/5weeks","0","19",NA,19,NA,NA,NA,NA,"trawl86.sas7bdat, trawl86.dat",1321,"1986-05-02_59_NA_NA","1986-05-02_59_NA_NA_1_19_11.15_100",5,1986,NA,"NANA",NA,NA,NA,NA,"AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,"Invalid format"
