"trawl_date","trawl_location","lake_code","process_date","processor","start_time","end_time","start_time.sas","end_time.sas","start_time.dat","end_time.dat","duration_mi","depth_m","trawl_number","sample_type","species_code","fish_description","species_code_comment","fish_length_mm","fish_weight_g","weight_conversion_formula","standardized_weight_g","fish_total","fish_id","preservative_code","preservative_description","sample_number","scale","scale_book","scale_book_letter","age","aging_technique","aging_technique_name","source_files","source_line","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","comment","time_comment","preservative_code_comment","depth_m_comment","trawl_date_comment","trawl_number_comment","program_notes","merging_update_type",".joyn","invalid_start_time","fish_scientific_genus","fish_scientific_species","lake_name","lake_latitude","lake_longitude"
"1978-07-06",NA,14,NA,"99","22:15:00","22:45:00",NA,NA,NA,NA,"30",0,1,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-07-06_14_1_0","1978-07-06_14_1_0_99_NA_NA_NA",7,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Stephens Lake","55 deg 45 min","128 deg 35 min"
"1978-07-17",NA,16,NA,"99","00:36:00","01:06:00",NA,NA,NA,NA,"30",6,6,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-07-17_16_6_6","1978-07-17_16_6_6_99_NA_NA_NA",7,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Bear Lake","56 deg 08 min","126 deg 49 min"
"1978-07-20",NA,19,NA,"99","01:35:00","02:05:00",NA,NA,NA,NA,"30",12,2,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-07-20_19_2_12","1978-07-20_19_2_12_99_NA_NA_NA",7,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Simpson Lake","53 deg 37 min","129 deg 33 min"
"1978-07-24",NA,15,NA,"99","22:45:00","23:15:00",NA,NA,NA,NA,"30",8,2,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-07-24_15_2_8","1978-07-24_15_2_8_99_NA_NA_NA",7,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Morice Lake","53 deg 59 min","127 deg 37 min"
"1978-07-24",NA,15,NA,"99","23:20:00","23:50:00",NA,NA,NA,NA,"30",7,3,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-07-24_15_3_7","1978-07-24_15_3_7_99_NA_NA_NA",7,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Morice Lake","53 deg 59 min","127 deg 37 min"
"1978-07-24",NA,15,NA,"99","23:59:00","00:29:00",NA,NA,NA,NA,"30",7,4,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-07-24_15_4_7","1978-07-24_15_4_7_99_NA_NA_NA",7,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Morice Lake","53 deg 59 min","127 deg 37 min"
"1978-07-25",NA,15,NA,"99","00:37:00","01:07:00",NA,NA,NA,NA,"30",8,5,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-07-25_15_5_8","1978-07-25_15_5_8_99_NA_NA_NA",7,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Morice Lake","53 deg 59 min","127 deg 37 min"
"1978-09-20",NA,20,NA,"99","19:20:00","19:50:00",NA,NA,NA,NA,"30",7,1,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-09-20_20_1_7","1978-09-20_20_1_7_99_NA_NA_NA",9,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Lowe Lake","53 deg 34 min","129 deg 33 min"
"1978-09-30",NA,13,NA,"99","19:10:00","19:25:00",NA,NA,NA,NA,"15",12,1,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-09-30_13_1_12","1978-09-30_13_1_12_99_NA_NA_NA",9,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Swan Lake","55 deg 46 min","128 deg 39 min"
"1978-10-01",NA,14,NA,"99","20:57:00","21:27:00",NA,NA,NA,NA,"30",9,1,NA,99,NA,"",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-10-01_14_1_9","1978-10-01_14_1_9_99_NA_NA_NA",10,1978,NA,NA,NA,NA,NA,NA,"AA - Living Data Program - 2025","Single-row",NA,"Valid",NA,NA,"Stephens Lake","55 deg 45 min","128 deg 35 min"
