"process_date","processor","lake_code","lake_name","trawl_date","start_time","end_time","duration_mi","depth_m","trawl_number","fish_total","fish_id","species_code","fish_description","fish_length_mm","fish_weight_g","weight_conversion_formula","preservative_code","preservative_description","sample_number","sas_scale","sas_scale_book","age","aging_technique","aging_technique_name","source_file","comment","standardized_weight_g","species_code_comment","program_notes","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","start_time.dat","end_time.dat","scale","scale_book","source_file.dat","source_line","sample_type","trawl_location","trawl_number_comment","trawl_date_comment","time_comment","preservative_code_comment","depth_m_comment","start_time.sas","end_time.sas","source_file.sas",".joyn","scale_book_letter"
"1985-02-05","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,1,5,6,2,"Stickleback",32,0.22,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.2,NA,"AA - Living Data Program - 2025","1984-05-01_40_1_2","1984-05-01_40_1_2_2_6_0.22_32",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:24:48","22:40:00","trawl84.sas7bdat","y",NA
"1985-02-05","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,1,7,6,2,"Stickleback",32,0.22,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_1_2","1984-05-01_40_1_2_2_6_0.22_32",5,1984,"22:25:00","22:40:00",NA,"1","trawl84.dat",54832,"TR","TR 1-2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-05","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,1,5,7,2,"Stickleback",36,0.33,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.3,NA,"AA - Living Data Program - 2025","1984-05-01_40_1_2","1984-05-01_40_1_2_2_7_0.33_36",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:24:48","22:40:00","trawl84.sas7bdat","y",NA
"1985-02-05","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,1,7,7,2,"Stickleback",36,0.33,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_1_2","1984-05-01_40_1_2_2_7_0.33_36",5,1984,"22:25:00","22:40:00",NA,"1","trawl84.dat",54835,"TR","TR 1-2","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,10,2,"Stickleback",32,0.29,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.26,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_10_0.29_32",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,10,2,"Stickleback",32,0.29,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_10_0.29_32",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56039,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,11,2,"Stickleback",32,0.3,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.27,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_11_0.3_32",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,11,2,"Stickleback",32,0.3,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_11_0.3_32",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56042,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,12,2,"Stickleback",37,0.45,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.4,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_12_0.45_37",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,16,12,2,"Stickleback",37,0.45,"std weight = weight/1.115100",1,"Formalin/5weeks","1",NA,NA,NA,NA,NA,NA,NA,NA,"SUB ADULTS","AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_12_0.45_37",5,1984,"22:49:00","23:04:00",NA,"1","trawl84.dat",56045,"TR","TR 2-1","","",NA,NA,"",NA,NA,NA,"x",NA
"1985-02-06","18",40,"Kennedy L (Clay)","1984-05-01",NA,NA,"15",2,2,11,13,2,"Stickleback",32,0.31,"std weight = weight/1.115100",1,"Formalin/5weeks",NA,1,NA,NA,NA,NA,NA,NA,0.28,NA,"AA - Living Data Program - 2025","1984-05-01_40_2_2","1984-05-01_40_2_2_2_13_0.31_32",5,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22:48:48","23:04:00","trawl84.sas7bdat","y",NA
