"trawl_date","trawl_comment","lake_code","lake_name","process_date","processor","start_time","end_time","start_time.sas","end_time.sas","start_time.dat","end_time.dat","duration_mi","depth_m","trawl_number","sample_type","species_code","fish_description","species_code_comment","fish_length_mm","fish_weight_g","weight_conversion_formula","standardized_weight_g","fish_total","fish_id","preservative_code","preservative_description","sample_number","scale","scale_book","scale_book_letter","age","aging_technique","aging_technique_name","source_files","source_line","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","comment","time_comment","preservative_code_comment","depth_m_comment","trawl_date_comment","trawl_number_comment","program_notes","merging_update_type",".joyn","duplicate_flag","invalid_start_time"
"1987-09-26","",153,"Nahmint Lk","1988-04-28","53","21:89:00",NA,NA,NA,NA,NA,"15",16,1,"TRAWL",1,"Sockeye (Juvenile)","SOCKEYE (JUV)",63,2.32,"std weight = weight/1.115100",NA,3,1,1,"Formalin/5weeks","2",NA,"0",NA,NA,NA,NA,"trawl87.dat",30038,"1987-09-26_153_1_16","1987-09-26_153_1_16_1_1_2.32_63",9,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,"Invalid format"
"1987-09-26","",153,"Nahmint Lk","1988-04-28","53","21:89:00",NA,NA,NA,NA,NA,"15",16,1,"TRAWL",1,"Sockeye (Juvenile)","SOCKEYE (JUV)",34,0.37,"std weight = weight/1.115100",NA,3,2,1,"Formalin/5weeks","2",NA,"0",NA,NA,NA,NA,"trawl87.dat",30042,"1987-09-26_153_1_16","1987-09-26_153_1_16_1_2_0.37_34",9,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,"Invalid format"
"1987-09-26","",153,"Nahmint Lk","1988-04-28","53","21:89:00",NA,NA,NA,NA,NA,"15",16,1,"TRAWL",1,"Sockeye (Juvenile)","SOCKEYE (JUV)",43,0.7,"std weight = weight/1.115100",NA,3,3,1,"Formalin/5weeks","2",NA,"0",NA,NA,NA,NA,"trawl87.dat",30046,"1987-09-26_153_1_16","1987-09-26_153_1_16_1_3_0.7_43",9,1987,NA,NA,"FORMALIN - WGHD AFT 5 WKS","",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",48,0.72,NA,NA,188,100,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4223,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_100_0.72_48",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",47,0.7,NA,NA,188,101,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4227,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_101_0.7_47",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",47,0.67,NA,NA,188,102,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4231,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_102_0.67_47",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",53,0.99,NA,NA,188,103,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4235,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_103_0.99_53",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",49,0.82,NA,NA,188,104,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4239,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_104_0.82_49",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",49,0.69,NA,NA,188,105,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4243,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_105_0.69_49",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",47,0.7,NA,NA,188,106,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4247,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_106_0.7_47",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",52,0.87,NA,NA,188,107,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4251,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_107_0.87_52",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
"1988-07-31","TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH APPEARED VERY DRIED OUT AND THE WEIGHT TO LENGTH RATIO APPEARED VERY DIFFERENT THAN EARLIER MEASUREMENTS.",29,"Devon Lk","1989-02-17","22",NA,NA,NA,NA,"00:0?:00",NA,"15",0,6,"TRAWL",2,"Stickleback","STICKLEBACK",44,0.59,NA,NA,188,108,270,NA,"2",0,"","",NA,NA,NA,"trawl88.sas7bdat, trawl88.dat",4255,"1988-07-31_29_6_0","1988-07-31_29_6_0_2_108_0.59_44",7,1988,"TR1 MIDLAKE   NOTE THESE FISH WERE PRESERVED IN ALCOHOL AND THEYORIGINALLY HAD MOULD     THE FISH AP",NA,"0 0 % OH - WGHD AFTER 5 WKS","",NA,NA,"AA - Living Data Program - 2025","NA updates","y",NA,"Invalid format"
