"trawl_date","trawl_comment","lake_code","process_date","processor","start_time","end_time","duration_mi","depth_m","trawl_number","gear_info","species_info_code","fish_description","species_code_comment","fish_length_mm","fish_weight_g","standardized_weight_g","fish_total","fish_id","preservative_code","sample_number","scale_book","scale_book_letter","sas_scale","sas_scale_book","age","aging_technique","aging_technique_name","source_files","source_line","trawl_unique_ID","fish_unique_ID","trawl_month","ats_year","sas_comment","time_comment","preservative_code_comment","depth_m_comments","trawl_date_comment","trawl_number_comment","program_notes","merging_update_type",".joyn","duplicate_flag","invalid_start_time","invalid_end_time","taxonomic_comment","species_code","genus_name","species_name","lake_comment","lake_name","lake_latitude","lake_longitude","no_species_name_comments","invalid_duration_time","calc_duration_time","duration_final","duration_comment","calc_end_time","calc_end_time_comment","preservative_code_issue","preservative_description","preservative_description_short","weight_conversion_formula","calc_value","preservative_note","scale_book_issues","scale_book_comment","gear_type","gear_type_comment","length_weight_comment","calc_std_weight_g","std_weight_g_comment"
"1977-09-28",NA,1,NA,NA,"21:44:00","21:59:00",15,18,2,NA,1,"Sockeye","Fry",95,10.68,10.68,40,39,1,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-09-28_1_2_18","1977-09-28_1_2_18_1_39_10.68_95",9,1977,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Great Central Lake","49 deg 22 min","125 deg 15 min",NA,NA,15,15,"matches calculated orig_start_time and orig_end_time","21:59:00",NA,NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,NA,9.58,"does NOT match calc_std_weight_g"
"1977-11-08",NA,1,NA,NA,"01:37:00","01:52:00",15,32,6,NA,1,"Sockeye","Fry",96,10.22,10.22,166,164,1,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl77.sas7bdat",NA,"1977-11-08_1_6_32","1977-11-08_1_6_32_1_164_10.22_96",11,1977,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Great Central Lake","49 deg 22 min","125 deg 15 min",NA,NA,15,15,"matches calculated orig_start_time and orig_end_time","01:52:00",NA,NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,NA,9.17,"does NOT match calc_std_weight_g"
"1978-08-16",NA,40,NA,NA,"03:15:00","03:30:00",15,13,4,NA,1,"Sockeye","Fry",30,0.22,2.17,139,117,0,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl78.sas7bdat",NA,"1978-08-16_40_4_13","1978-08-16_40_4_13_1_117_2.17_30",8,1978,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Kennedy Lake (Clay)","49 deg 08 min","125 deg 35 min",NA,NA,15,15,"matches calculated orig_start_time and orig_end_time","03:30:00",NA,NA,"Weighed fresh - no preservative","Fresh","std weight = weight",1,"",NA,NA,"Trawl",NA,"weight changed to 0.22 g from 2.17, likely typo",0.22,"does NOT match calc_std_weight_g"
"1982-07-21",NA,3,NA,NA,"00:51:00","01:11:00",20,22,4,NA,1,"Sockeye","Fry",27,0.113,1.13,3,1,0,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl82.sas7bdat",NA,"1982-07-21_3_4_22","1982-07-21_3_4_22_1_1_1.13_27",7,1982,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Henderson Lake","49 deg 05 min","125 deg 02 min",NA,NA,20,20,"matches calculated orig_start_time and orig_end_time","01:11:00",NA,NA,"Weighed fresh - no preservative","Fresh","std weight = weight",1,"",NA,NA,"Trawl",NA,"weight changed to 0.113 g from 1.13 likely typo",0.11,"does NOT match calc_std_weight_g"
"1982-08-13",NA,6,NA,NA,"23:21:00","23:41:00",20,13,3,NA,1,"Sockeye","Fry",35,0.15,1.45,11,11,0,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl82.sas7bdat",NA,"1982-08-13_6_3_13","1982-08-13_6_3_13_1_11_1.45_35",8,1982,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Hobiton Lake","48 deg 45 min","124 deg 49 min",NA,NA,20,20,"matches calculated orig_start_time and orig_end_time","23:41:00",NA,NA,"Weighed fresh - no preservative","Fresh","std weight = weight",1,"",NA,NA,"Trawl",NA,"weight changed to 0.15 g from 1.45 likely typo",0.15,"does NOT match calc_std_weight_g"
"1983-02-05",NA,1,NA,NA,"21:20:00","21:40:00",20,18,1,NA,1,"Sockeye","Fry",73,3.52,3.16,184,39,3,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl82.sas7bdat",NA,"1983-02-05_1_1_18","1983-02-05_1_1_18_1_39_3.52_73",2,1982,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Great Central Lake","49 deg 22 min","125 deg 15 min",NA,NA,20,20,"matches calculated orig_start_time and orig_end_time","21:40:00",NA,NA,"50% Ethanol - weighed after 5 weeks","ETOH_50pct_5weeks","std weight = weight/0.832408",0.832408,"",NA,NA,"Trawl",NA,NA,4.23,"does NOT match calc_std_weight_g"
"1983-02-05",NA,1,NA,NA,"21:20:00","21:40:00",20,18,1,NA,1,"Sockeye","Fry",87,4.68,4.2,184,40,3,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl82.sas7bdat",NA,"1983-02-05_1_1_18","1983-02-05_1_1_18_1_40_4.68_87",2,1982,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Great Central Lake","49 deg 22 min","125 deg 15 min",NA,NA,20,20,"matches calculated orig_start_time and orig_end_time","21:40:00",NA,NA,"50% Ethanol - weighed after 5 weeks","ETOH_50pct_5weeks","std weight = weight/0.832408",0.832408,"",NA,NA,"Trawl",NA,NA,5.62,"does NOT match calc_std_weight_g"
"1983-03-03",NA,2,NA,NA,"20:10:00","20:30:00",20,45,4,NA,1,"Sockeye","Fry",76,4.56,4.09,14,12,2,NA,NA,NA,NA,NA,NA,5,"Defaulted","trawl82.sas7bdat",NA,"1983-03-03_2_4_45","1983-03-03_2_4_45_1_12_4.56_76",3,1982,NA,NA,NA,"",NA,NA,"AA - Living Data Program - 2025","Single-row",NA,NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Sproat Lake","49 deg 14 min","125 deg 06 min",NA,NA,20,20,"matches calculated orig_start_time and orig_end_time","20:30:00",NA,NA,"70% Ethanol - weighed after 5 weeks","ETOH_70pct_5weeks","std weight = weight/0.868429",0.868429,"",NA,NA,"Trawl",NA,NA,5.25,"does NOT match calc_std_weight_g"
"1984-06-18","TR 3.5-3.75",6,"1985-01-28","18","03:26:00","03:41:00",15,11,3,"TR",1,"Sockeye","Fry",35,0.45,40.36,40,18,1,"1",0,NA,"0",NA,NA,NA,NA,"trawl84.sas7bdat, trawl84.dat",1787,"1984-06-18_6_3_11","1984-06-18_6_3_11_1_18_45_35",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Hobiton Lake","48 deg 45 min","124 deg 49 min",NA,NA,15,15,"matches calculated orig_start_time and orig_end_time","03:41:00",NA,NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.45 g from 45, likely typo",0.4,"does NOT match calc_std_weight_g"
"1984-06-18","TR 3.5-3.75",6,"1985-01-28","18","03:26:00","03:41:00",15,11,3,"TR",1,"Sockeye","Fry",31,0.29,26.01,40,19,1,"1",0,NA,"0",NA,NA,NA,NA,"trawl84.sas7bdat, trawl84.dat",1790,"1984-06-18_6_3_11","1984-06-18_6_3_11_1_19_29_31",6,1984,NA,NA,NA,"","","","AA - Living Data Program - 2025","Different values found; updated using .dat file","x",NA,NA,NA,NA,1,"Oncorhynchus","nerka",NA,"Hobiton Lake","48 deg 45 min","124 deg 49 min",NA,NA,15,15,"matches calculated orig_start_time and orig_end_time","03:41:00",NA,NA,"10% Formalin - weighed after 5 weeks","Formalin_10pct_5weeks","std weight = weight/1.115100",1.1151,"",NA,NA,"Trawl",NA,"weight changed to 0.29 g from 29, likely typo",0.26,"does NOT match calc_std_weight_g"
