"lake_name","1978","1995","1979","1980","1981","1982","1983","1984","1985","1988","1991","1992","1993","1986","1990","1987","1989","1996","1977","1994","1997","1998","1999"
"Alastair Lake",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Awun Lake",0,0,1,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear Lake",3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonilla Lake",0,0,1,2,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowser Lake",0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0
"Brannen Lake",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Cheewhat Lake",0,0,0,0,0,0,1,2,3,7,3,0,0,4,9,9,10,2,0,0,0,0,0
"Cougar Lake",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curtis Lake",0,0,1,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damdochax Lake",0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0
"Deer Lake",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devon Lake",0,0,2,1,1,1,1,2,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0
"Dragon Lake",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Eden Lake",0,0,2,1,2,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ellerslie Lake",0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Fred Wright Lake",2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Glendale Lake",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Central Lake",1,0,9,5,7,4,3,1,1,1,7,3,0,2,4,4,6,4,5,2,3,0,0
"Henderson Lake",2,4,1,2,5,5,5,3,2,4,4,4,5,5,4,7,6,5,2,4,0,0,0
"Hesquiat Lake",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heydon Lake",0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Hobiton Lake",1,0,3,0,3,4,7,15,11,14,7,4,0,7,10,21,11,2,2,0,0,0,0
"Ian Lake",0,0,2,2,1,1,1,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0
"Ingram Lake",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jansen Lake",0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kennedy Lake (Clay)",8,2,7,1,6,5,3,35,19,9,2,0,0,12,8,11,6,1,7,0,0,0,0
"Kennedy Lake (Main)",5,2,7,1,4,3,4,0,4,0,1,0,0,9,12,5,8,2,5,2,0,0,0
"Kitlope Lake",3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kitwanga Lake",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klukshu Lake",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Link Lake",0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"Long Lake",4,3,1,6,4,5,9,5,4,7,4,7,5,5,3,5,8,2,1,3,1,0,0
"Long Lake (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,2
"Long Lake (B)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,1
"Lowe Lake",1,0,4,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maggie Lake",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mathers Lake",0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Megin Lake",0,3,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Mercer Lake",0,0,2,1,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Meziadin Lake",3,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0
