"species_common_name","lake_name","sample_counts","min(fish_length_mm)","mean(fish_length_mm)","max(fish_length_mm)","min(fish_weight_g)","mean(fish_weight_g)","max(fish_weight_g)"
"Chinook","Damdochax Lake",1,77,77,77,6.15,6.15,6.15
"Chinook","Owikeno Lake",8,41,74.75,99,0.82,6.68,14.04
"Coho","Cheewhat Lake",6,35,58.33,99,0.44,4.54,14.78
"Coho","Hobiton Lake",2,35,36,37,0.41,0.44,0.47
"Coho","Kennedy Lake (Clay)",2,39,40.5,42,0.56,0.63,0.7
"Coho","Kennedy Lake (Main)",1,99,99,99,11.63,11.63,11.63
"Coho","Long Lake",4,36,56,78,0.46,2.83,6.06
"Coho","Megin Lake",1,55,55,55,1.67,1.67,1.67
"Coho","Muriel Lake",3,36,36.67,37,0.48,0.53,0.6
"Coho","Owikeno Lake",12,31,69.92,123,0.26,5.47,23.59
"Coho","Skidegate Lake",1,81,81,81,6.55,6.55,6.55
"Coho","Yakoun Lake",2,27,29,31,0.2,0.28,0.35
"Dolly Varden","Bear Lake",1,56,56,56,1.94,1.94,1.94
"Dolly Varden","Skidegate Lake",2,94,100.5,107,10.08,11.36,12.64
"Kokanee","Sproat Lake",1,160,160,160,47.98,47.98,47.98
"Lamprey","Cheewhat Lake",1,110,110,110,2.34,2.34,2.34
"Lamprey","Kennedy Lake (Clay)",2,43,111.5,180,2.43,5.66,8.88
"Lamprey","Megin Lake",3,NA,NA,NA,NA,NA,NA
"Lamprey","Muriel Lake",1,86,86,86,1.18,1.18,1.18
"Lamprey","Nahmint Lake",5,43,73.4,93,0.19,0.77,1.27
"Lamprey","Nimpkish Lake",4,126,143.25,165,2.5,3.95,5.57
"Lamprey","Owikeno Lake",2,79,97.5,116,0.81,1.78,2.75
"Lamprey","Phillips Lake",6,84,130.33,167,1.04,4.02,6.85
"Lamprey","Schoen Lake",1,62,62,62,6.16,6.16,6.16
"Lamprey","Skidegate Lake",22,86,129.36,212,1.22,4.3,14.72
"Lamprey","Yakoun Lake",12,45,107.92,133,0.15,2.29,4.13
"Peamouth Chub","Bowser Lake",4,72,78.75,90,4.23,5.86,8.72
