Stratum,Area,Transect,Length,Lake,LakeCode
05-Feb,685,Transect1,1030,ALISTAIR,12
05-Feb,685,Transect2,987,ALISTAIR,12
05-Feb,685,Transect3,891,ALISTAIR,12
05-Feb,685,Transect4,785,ALISTAIR,12
05-Feb,685,Transect5,664,ALISTAIR,12
05-Mar,685,Transect1,1030,ALISTAIR,12
05-Mar,685,Transect2,987,ALISTAIR,12
05-Mar,685,Transect3,891,ALISTAIR,12
05-Mar,685,Transect4,785,ALISTAIR,12
05-Mar,685,Transect5,664,ALISTAIR,12
10-May,623,Transect1,974,ALISTAIR,12
10-May,623,Transect2,963,ALISTAIR,12
10-May,623,Transect3,836,ALISTAIR,12
10-May,623,Transect4,775,ALISTAIR,12
10-May,623,Transect5,648,ALISTAIR,12
15-Oct,562,Transect1,699,ALISTAIR,12
15-Oct,562,Transect2,915,ALISTAIR,12
15-Oct,562,Transect3,789,ALISTAIR,12
15-Oct,562,Transect4,736,ALISTAIR,12
15-Oct,562,Transect5,627,ALISTAIR,12
15-20,484,Transect1,532,ALISTAIR,12
15-20,484,Transect2,849,ALISTAIR,12
15-20,484,Transect3,752,ALISTAIR,12
15-20,484,Transect4,715,ALISTAIR,12
15-20,484,Transect5,605,ALISTAIR,12
20-30,377,Transect1,0,ALISTAIR,12
20-30,377,Transect2,427,ALISTAIR,12
20-30,377,Transect3,710,ALISTAIR,12
20-30,377,Transect4,697,ALISTAIR,12
20-30,377,Transect5,575,ALISTAIR,12
30-40,278,Transect1,0,ALISTAIR,12
30-40,278,Transect2,0,ALISTAIR,12
30-40,278,Transect3,618,ALISTAIR,12
30-40,278,Transect4,641,ALISTAIR,12
30-40,278,Transect5,535,ALISTAIR,12
40-50,216,Transect1,0,ALISTAIR,12
40-50,216,Transect2,0,ALISTAIR,12
40-50,216,Transect3,518,ALISTAIR,12
40-50,216,Transect4,583,ALISTAIR,12
40-50,216,Transect5,493,ALISTAIR,12
50-60,180,Transect1,0,ALISTAIR,12
50-60,180,Transect2,0,ALISTAIR,12
50-60,180,Transect3,419,ALISTAIR,12
50-60,180,Transect4,533,ALISTAIR,12
50-60,180,Transect5,437,ALISTAIR,12
05-Feb,465,Transect1,648,AWUN,27
05-Feb,465,Transect2,928,AWUN,27
05-Feb,465,Transect3,650,AWUN,27
05-Feb,465,Transect4,295,AWUN,27
05-Mar,465,Transect1,648,AWUN,27
05-Mar,465,Transect2,928,AWUN,27
05-Mar,465,Transect3,650,AWUN,27
05-Mar,465,Transect4,295,AWUN,27
10-May,440,Transect1,628,AWUN,27
10-May,440,Transect2,917,AWUN,27
10-May,440,Transect3,635,AWUN,27
10-May,440,Transect4,284,AWUN,27
15-Oct,420,Transect1,592,AWUN,27
15-Oct,420,Transect2,893,AWUN,27
15-Oct,420,Transect3,616,AWUN,27
15-Oct,420,Transect4,266,AWUN,27
15-20,400,Transect1,556,AWUN,27
15-20,400,Transect2,870,AWUN,27
15-20,400,Transect3,594,AWUN,27
15-20,400,Transect4,249,AWUN,27
20-30,370,Transect1,496,AWUN,27
20-30,370,Transect2,831,AWUN,27
20-30,370,Transect3,566,AWUN,27
20-30,370,Transect4,221,AWUN,27
30-40,323,Transect1,433,AWUN,27
30-40,323,Transect2,779,AWUN,27
30-40,323,Transect3,512,AWUN,27
30-40,323,Transect4,156,AWUN,27
40-50,274,Transect1,336,AWUN,27
40-50,274,Transect2,675,AWUN,27
40-50,274,Transect3,464,AWUN,27
40-50,274,Transect4,0,AWUN,27
50-60,211,Transect1,240,AWUN,27
50-60,211,Transect2,575,AWUN,27
50-60,211,Transect3,429,AWUN,27
50-60,211,Transect4,0,AWUN,27
60-70,136,Transect1,0,AWUN,27
60-70,136,Transect2,0,AWUN,27
60-70,136,Transect3,0,AWUN,27
60-70,136,Transect4,0,AWUN,27
05-Feb,207,Transect1,273,BONILLA,31
05-Feb,207,Transect2,668,BONILLA,31
05-Feb,207,Transect3,672,BONILLA,31
05-Feb,207,Transect4,225,BONILLA,31
05-Mar,207,Transect1,273,BONILLA,31
05-Mar,207,Transect2,668,BONILLA,31
05-Mar,207,Transect3,672,BONILLA,31
05-Mar,207,Transect4,225,BONILLA,31
10-May,186,Transect1,252,BONILLA,31
10-May,186,Transect2,649,BONILLA,31
10-May,186,Transect3,648,BONILLA,31
10-May,186,Transect4,206,BONILLA,31
15-Oct,167,Transect1,233,BONILLA,31
15-Oct,167,Transect2,643,BONILLA,31
15-Oct,167,Transect3,613,BONILLA,31
15-Oct,167,Transect4,183,BONILLA,31
15-20,149,Transect1,215,BONILLA,31
15-20,149,Transect2,564,BONILLA,31
15-20,149,Transect3,590,BONILLA,31
15-20,149,Transect4,154,BONILLA,31
20-30,127,Transect1,190,BONILLA,31
20-30,127,Transect2,547,BONILLA,31
20-30,127,Transect3,551,BONILLA,31
20-30,127,Transect4,86,BONILLA,31
30-40,102,Transect1,164,BONILLA,31
30-40,102,Transect2,456,BONILLA,31
